"Input.Sample","cardiac_muscle_cell","cardiac_neuron","endocardial_cell","endothelial_cell","fibroblast","leukocyte","myofibroblast_cell","smooth_muscle_cell","P.value"
"GTEX-1117F-0726-SM-5GIEN",0.414144281240169,0.0390110666049863,0.0247208995150112,0.0173081254740277,0.297648491768703,0.0735854022356636,0.0539710876497983,0.0796106455116414,"p < 0.001"
"GTEX-111FC-0626-SM-5N9CU",0.593455066261395,0.0304993937274336,0,0,0.271832333713611,0.0159833620999391,0,0.0882298441976213,"p < 0.001"
"GTEX-111FC-0826-SM-5GZWO",0.619150206563007,0.0391776315373734,0,0.0884489292845188,0.0896639629861332,0.0193382650956173,0.0317194905091218,0.112501514024228,"p < 0.001"
"GTEX-111VG-0326-SM-5GZX7",0.413501728004059,0.0633653809548071,0,0.0216552968159194,0.374800781738324,0,0.00641544078318099,0.12026137170371,"p < 0.001"
"GTEX-111YS-0326-SM-5GZZ3",0.709215092007082,0.0367780274566818,0.00717138973363249,0.0568536488050135,0.0534340829373628,0.0368497788129391,0.027332100850917,0.072365879396371,"p < 0.001"
"GTEX-111YS-0426-SM-5987O",0.692948077278827,0.0390429281572067,0,0.122747492435359,0,0,0.0729517860048742,0.0723097161237327,"p < 0.001"
"GTEX-1122O-0626-SM-5N9B9",0.681149164486497,0.0419818120384732,0,0.0576402320592277,0.0693198419697366,0.0489710672939873,0.0378035011203969,0.0631343810316814,"p < 0.001"
"GTEX-1122O-0826-SM-5GICV",0.774967256423265,0.0271772043630743,0,0.0586908143782273,0,0.0379091732582064,0.0490770065046155,0.0521785450726113,"p < 0.001"
"GTEX-117XS-0726-SM-5H131",0.534680494286046,0.031335596409577,0.00404373339204731,0.0372782784445281,0.265438354972292,0.0149843189289024,0.00265940214348012,0.109579821423126,"p < 0.001"
"GTEX-117YW-0326-SM-5N9CY",0.319160699443393,0,0,0.252321310072438,0.222423786027778,0,0.0799352909108624,0.126158913545529,"p < 0.001"
"GTEX-117YW-0426-SM-5GZZZ",0.369600757001286,0.00698652658991319,0.0141480899747384,0.117128655380487,0.287189776197573,0.0412458493853433,0.0437249832966868,0.119975362173973,"p < 0.001"
"GTEX-117YX-0626-SM-5EGJI",0.709727805451347,0.037191274278961,0,0.0365883071549559,0.0891665085381596,0.0440573266841786,0.0178186724855302,0.065450105406868,"p < 0.001"
"GTEX-117YX-1126-SM-5H128",0.830634460261916,0.0225680074223171,0,0.0407179689991315,0,0.014533331689456,0.024242034740746,0.0673041968864332,"p < 0.001"
"GTEX-1192W-0226-SM-5EGGT",0.457760983175802,0.00602292116237822,0,0.0317871664972509,0.366292815147205,0,0.0461898928663184,0.091946221151045,"p < 0.001"
"GTEX-1192X-0726-SM-5987R",0.54976788261617,0.0493333595666765,0.0317681178254942,0.0409587491955741,0.23356278387802,0,0.00343420540154982,0.0911749015165154,"p < 0.001"
"GTEX-11DXX-0326-SM-5PNWC",0.772750240903012,0.0253932645062932,0,0.0747243729149028,0,0.0240630331983198,0.0391591802883151,0.0639099081891567,"p < 0.001"
"GTEX-11DXX-0526-SM-5PNVR",0.637184568521369,0.045883104213986,0,0.0570063435725407,0.111954685384153,0.0487721958399022,0.0244424767542274,0.0747566257138221,"p < 0.001"
"GTEX-11DXY-0826-SM-5EGGR",0.383445466566758,0.00867139223141557,0.00566604306013655,0.228910973620444,0.174224504836541,0.0222863098501386,0.0602370036596887,0.116558306174877,"p < 0.001"
"GTEX-11DXY-1026-SM-5987V",0.50816678098204,0.031771435986914,0.0123056064899764,0.0517913409612859,0.259803253321761,0.00744640519568697,0.0157805986587928,0.112934578403543,"p < 0.001"
"GTEX-11DXZ-0326-SM-5EGH1",0.697300633099765,0.0298603435362197,0.0227762542525638,0,0.149991390761262,0.0206537967610861,0,0.0794175815891031,"p < 0.001"
"GTEX-11DXZ-0626-SM-5GU77",0.768038063278198,0.0459046894423324,0,0.0816663759806619,0.00950981649260327,0,0.0242913701022473,0.0705896847039572,"p < 0.001"
"GTEX-11DYG-1026-SM-5A5JQ",0.668806151396307,0.0659432093253181,0,0,0.177045074233669,0.00593202172106735,0.00479845375961553,0.0774750895640225,"p < 0.001"
"GTEX-11EM3-0426-SM-5N9BZ",0.647144087318203,0.0291976131486239,0.0205142646176248,0.0278347138812005,0.157581155840953,0.0302803907922937,0.0237657592323068,0.0636820151687942,"p < 0.001"
"GTEX-11EM3-0626-SM-5H12Z",0.556268694959,0.0471304887845145,0,0.115798272083268,0.0316909483599269,0.099198080373466,0.0337136502122174,0.116199865227606,"p < 0.001"
"GTEX-11EMC-0726-SM-5EGJO",0.598727202089506,0.0347666871287178,0,0.098199176155615,0.117267667426542,0.0502846034071962,0.0392720894837039,0.0614825743087195,"p < 0.001"
"GTEX-11EMC-0826-SM-59862",0.416552796850199,0.0309017109093832,0,0.0400334977222328,0.290097993245539,0.101724768336027,0,0.120689232936619,"p < 0.001"
"GTEX-11GS4-0426-SM-5N9CD",0.388223853012138,0.0165900497996424,0,0.0788205665441995,0.387382078909563,0,0.0276559016117582,0.101327550122699,"p < 0.001"
"GTEX-11GS4-0526-SM-5A5KQ",0.402923655675078,0.0212363905532477,0.00319759310730833,0.164495805908712,0.246852610237002,0.0331754604650921,0.055720134973788,0.0723983490797713,"p < 0.001"
"GTEX-11GSP-1226-SM-5985M",0.485456491067793,0.036371264752461,0.0337875069525602,0.00448849169518217,0.255900401009627,0.0526353782385659,0.0172882927022097,0.114072173581601,"p < 0.001"
"GTEX-11GSP-1326-SM-5A5KY",0.354186210327058,0.0278304188059752,0.0192655796025056,0.22879605218373,0.162616302225048,0,0.0510988139698226,0.156206622885861,"p < 0.001"
"GTEX-11I78-0826-SM-5A5K4",0.75623216967094,0.0275512551379587,0,0.0706020769799128,0,0.0375322141825594,0.0536936922440419,0.0543885917845877,"p < 0.001"
"GTEX-11LCK-0826-SM-5PNYD",0.621613150480567,0.0417159874489099,0.00322083974932811,0.0595173311677314,0.115785337192847,0.0617299781074126,0.0193559718088667,0.0770614040443371,"p < 0.001"
"GTEX-11LCK-0926-SM-5A5KA",0.746502825139484,0.0190568089105425,0,0.0896948440256156,0,0.0238582900688335,0.0264905294891774,0.0943967023663472,"p < 0.001"
"GTEX-11NUK-0926-SM-5HL57",0.522437696857573,0.049449499518454,8e-04,0.010507890267631,0.305429185992843,0,0.0132076199442159,0.0981460151996822,"p < 0.001"
"GTEX-11NV4-0826-SM-5BC4S",0.59195224732362,0.0480254912618262,0.00289102846677181,0.00632662911438759,0.21477719065251,0.0193300540064938,0.0201499087155898,0.0965474504588009,"p < 0.001"
"GTEX-11O72-1026-SM-5986B",0.416999095586824,0.0612513804171203,0,0.0419744122699403,0.298417067252279,0.043233211603636,0,0.138124832870201,"p < 0.001"
"GTEX-11O72-1126-SM-5N9E2",0.398158330546073,0.032698149224856,0,0.116515560237609,0.175374772157323,0.101466764004574,0.0575882510326143,0.118198172796951,"p < 0.001"
"GTEX-11ONC-0126-SM-5PNW6",0.333971621791974,0.0340059857833427,0,0.173950985190129,0.226970398377472,0.0573827944471965,0.0500755387491648,0.123642675660721,"p < 0.001"
