Gene stable ID	Transcript stable ID	Gene name	Source of gene name
ENSPTRG00000042638	ENSPTRT00000076395		
ENSPTRG00000042646	ENSPTRT00000076407		
ENSPTRG00000042654	ENSPTRT00000076381		
ENSPTRG00000042645	ENSPTRT00000076409		
ENSPTRG00000042644	ENSPTRT00000076406		
ENSPTRG00000042641	ENSPTRT00000076390	MT-ND1	VGNC Symbol
ENSPTRG00000042627	ENSPTRT00000076386		
ENSPTRG00000042647	ENSPTRT00000076380		
ENSPTRG00000042652	ENSPTRT00000076392		
ENSPTRG00000042626	ENSPTRT00000076387	MT-ND2	VGNC Symbol
ENSPTRG00000042656	ENSPTRT00000076405		
ENSPTRG00000042642	ENSPTRT00000076396	MT-TA	HGNC Symbol
ENSPTRG00000042648	ENSPTRT00000076384		
ENSPTRG00000042629	ENSPTRT00000076376		
ENSPTRG00000042655	ENSPTRT00000076389		
ENSPTRG00000042657	ENSPTRT00000076402	MT-CO1	VGNC Symbol
ENSPTRG00000042634	ENSPTRT00000076388		
ENSPTRG00000042636	ENSPTRT00000076378		
ENSPTRG00000042660	ENSPTRT00000076397	MT-CO2	VGNC Symbol
ENSPTRG00000042633	ENSPTRT00000076375		
ENSPTRG00000042653	ENSPTRT00000076398	MT-ATP8	VGNC Symbol
ENSPTRG00000042650	ENSPTRT00000076410	MT-ATP6	VGNC Symbol
ENSPTRG00000042661	ENSPTRT00000076385	MT-CO3	VGNC Symbol
ENSPTRG00000042643	ENSPTRT00000076377		
ENSPTRG00000042628	ENSPTRT00000076404	MT-ND3	VGNC Symbol
ENSPTRG00000042659	ENSPTRT00000076394		
ENSPTRG00000042631	ENSPTRT00000076391	MT-ND4L	VGNC Symbol
ENSPTRG00000042639	ENSPTRT00000076403	MT-ND4	VGNC Symbol
ENSPTRG00000042635	ENSPTRT00000076393		
ENSPTRG00000042649	ENSPTRT00000076401		
ENSPTRG00000042632	ENSPTRT00000076400		
ENSPTRG00000042651	ENSPTRT00000076382	MT-ND5	VGNC Symbol
ENSPTRG00000042630	ENSPTRT00000076408	MT-ND6	VGNC Symbol
ENSPTRG00000042625	ENSPTRT00000076379	MT-TE	HGNC Symbol
ENSPTRG00000042637	ENSPTRT00000076383	MT-CYB	VGNC Symbol
ENSPTRG00000042658	ENSPTRT00000076374		
ENSPTRG00000042640	ENSPTRT00000076399		
ENSPTRG00000047976	ENSPTRT00000080733		
ENSPTRG00000013652	ENSPTRT00000025441	FAM209A	VGNC Symbol
ENSPTRG00000020443	ENSPTRT00000037821	SDC2	VGNC Symbol
ENSPTRG00000020443	ENSPTRT00000088015	SDC2	VGNC Symbol
ENSPTRG00000020443	ENSPTRT00000101862	SDC2	VGNC Symbol
ENSPTRG00000044534	ENSPTRT00000082960		
ENSPTRG00000045991	ENSPTRT00000104719	C8H8orf89	VGNC Symbol
ENSPTRG00000045991	ENSPTRT00000099794	C8H8orf89	VGNC Symbol
ENSPTRG00000004551	ENSPTRT00000008423	FGF23	VGNC Symbol
ENSPTRG00000050844	ENSPTRT00000091615		
ENSPTRG00000049297	ENSPTRT00000099264		
ENSPTRG00000002780	ENSPTRT00000005249	CYP2C9	VGNC Symbol
ENSPTRG00000006251	ENSPTRT00000011465	SPTSSA	VGNC Symbol
ENSPTRG00000017084	ENSPTRT00000048019	ARSK	VGNC Symbol
ENSPTRG00000017084	ENSPTRT00000076864	ARSK	VGNC Symbol
ENSPTRG00000043514	ENSPTRT00000079296		
ENSPTRG00000023303	ENSPTRT00000036014	ZNF789	VGNC Symbol
ENSPTRG00000023303	ENSPTRT00000098658	ZNF789	VGNC Symbol
ENSPTRG00000023303	ENSPTRT00000096091	ZNF789	VGNC Symbol
ENSPTRG00000023303	ENSPTRT00000078030	ZNF789	VGNC Symbol
ENSPTRG00000017391	ENSPTRT00000032176	ADRB2	VGNC Symbol
ENSPTRG00000047027	ENSPTRT00000106139		
ENSPTRG00000042775	ENSPTRT00000100787		
ENSPTRG00000008173	ENSPTRT00000015071	MMP15	VGNC Symbol
ENSPTRG00000040239	ENSPTRT00000074696		
ENSPTRG00000040239	ENSPTRT00000098204		
ENSPTRG00000049109	ENSPTRT00000090819		
ENSPTRG00000012937	ENSPTRT00000023969	CFAP65	VGNC Symbol
ENSPTRG00000012937	ENSPTRT00000094517	CFAP65	VGNC Symbol
ENSPTRG00000012937	ENSPTRT00000110518	CFAP65	VGNC Symbol
ENSPTRG00000046839	ENSPTRT00000104560		
ENSPTRG00000048397	ENSPTRT00000083900		
ENSPTRG00000040083	ENSPTRT00000073882		
ENSPTRG00000010515	ENSPTRT00000019375	ZNF700	VGNC Symbol
ENSPTRG00000019020	ENSPTRT00000035162	HOXA11	VGNC Symbol
