Input Sample,cardiac muscle cell,endocardial cell,endothelial cell,erythrocyte,fibroblast,leukocyte,myofibroblast cell,professional antigen presenting cell,smooth muscle cell,P-value,Pearson Correlation,RMSE
C.4x0519,0.8863104557241382,0.033844271828486594,0,0.008015557531995468,0.002487308958986,0.001653697414938946,0.03486106953258888,0,0.032827639008865935,0,0.36588011635732026,0.9461363478891663
C.4x373,0.8747253642656703,0.016639092049647745,0,0.008910338893156398,0.00592089815329219,0.0012701878596646894,0.06560131725679803,0,0.026932801521770654,0,0.34726077771252284,0.950270314420806
C.476,0.9501894063785531,0.022962322217028593,0,0.0013310984134177336,0,0.0007,0.01011026387716043,0,0.014676687782549156,0,0.6095166375047503,0.8876110212867292
C.4x0025,0.5901420242709505,0.05134814905998585,0,0,0.0066542591343540895,0.004620751085716946,0.06562786431156034,0,0.2816069521374322,0.01,0.184073703584069,0.9845309939304412
C.438,0.9329860724614049,0.020522358708865623,0,0.0037984560512896223,0.0008,0.0006,0.022717262942295955,0,0.018550752712623138,0,0.6099376093733857,0.8892176311843646
C.462,0.8339687848432107,0.0569388208542803,0,0,0.011171760245633662,0.0031109843697938026,0.050860036675017775,0,0.04394961301206375,0,0.2814141939047298,0.964291646785834
C.4X0354,0.39044716370162186,0.19963891299145534,0,0,0.004911440043792163,0.0016613831980823205,0.07066245363154805,0,0.3326786464335003,0.02,0.1619958829406481,0.9896779719992749
C.503,0.9281622609120369,0.015697965756289144,0,0,0.001823332427666472,0.0006,0.03179622435665484,0,0.021929658530867396,0,0.3634524187101155,0.9450753705926642
C.317,0.8609120219912033,0.03109564426890529,0,0,0.009639252842515024,0.0013550600986904592,0.06194513012323173,0,0.03505289067545418,0,0.2617302523740018,0.9677686830426003
C.623,0.4880640845269701,0.15572532885587667,0.0003,0.03231244229482187,0.010498322523072635,0.0030821853807417934,0.13300951693775862,0,0.177023980037501,0.04,0.1203655882754058,0.9930169253611724
C.554,0.36770409078629,0.28940951658294467,0.00646056756084408,0.04313394564060371,0.013424375269935658,0,0.186802716248671,0,0.09306478791071088,0.08,0.07907239572272919,0.997268602653848
C.4X0095,0.7512461574465059,0.061044614190778744,0.0003,0.026681439858158674,0.006644026536083033,0.0032621096975606586,0.06319672706436054,0,0.08760824828810514,0.02,0.16648336420521925,0.9863155065586217
C.549,0.8332947316138549,0.08337936698474273,0,0.004613205580887196,0.010958113446074808,0.0013746427010436935,0.013981184603251547,0,0.052398755070145235,0,0.5659224764429183,0.9071148890160529
C.4X0267,0.8337430291298739,0.04752492431787801,0,0.005421076694444792,0.006394104016629255,0.002404428308087614,0.04674061573597001,0,0.057771821797116554,0.01,0.23253641359892618,0.9739387426820886
C.4X0339,0.9518849322756502,0.02243815347580549,0,0.0009,0.001695371848964643,0.0006,0.011546166046571302,0,0.010963676657848958,0,0.4459212012375548,0.9255579970973168
C.529,0.9170279263297201,0.010173556833877627,0,0,0.005211418931057893,0.0005,0.03376392756472211,0.006610757030165941,0.026669516057041955,0,0.613378297515284,0.8897226630090143
C.495,0.18862178968095822,0.19525770904062423,0,0,0.043240376123909754,0.0020531087255223905,0.07749422739895048,0.0002,0.4931219284957846,0.03,0.1502383118749548,0.988852447090262
C.338,0.4468953892786788,0.1614030485528367,0,0,0.008707095516935664,0.005240308817786381,0.10499296712943897,0.002552120166641558,0.27020907053768195,0.04,0.11615441477081674,0.9935931481263551
C.4X0550,0.8027994937247852,0.06558845987039252,0,0.013569341981873512,0.007920277048379613,0.0006,0.06935419486497801,0.0009,0.03928175877393115,0.01,0.21117272165033882,0.9781819001104907
C.558,0.5526058442305336,0.120421025280429,0,0,0.0318027413385558,0.0015740744787748305,0.07644098544731394,0,0.21715532922439287,0.02,0.15811314675395768,0.9875363946226756
C.4x523,0.5832339369956095,0.12500630960317477,0,0.03843951120552526,0.023910833989051923,0.012443435595540855,0.11565256544448431,0.01722749987901491,0.08408590728759842,0.01,0.1869672025873222,0.9832404157570299
C.389,0.7909129680567937,0.022903432278643842,0,0.009996214776808596,0.005944793811055616,0.001532532969879455,0.03291412784061105,0,0.1357959302662078,0,0.2659915879314222,0.9683853081673759
C.4x0043,0.7042106508724773,0.11039617989148384,0,0.015686032953974,0.008448458864177012,0.004488786283595508,0.038940061711514214,0.023314441003135566,0.09451538841964255,0.01,0.23095523161338685,0.975878681629031
C.4X0357,0.6715744752062434,0.1744839676347664,0.00594540175574884,0,0.013868437420583522,0.0006,0.08624099110857704,0,0.04729806142031006,0.03,0.15074180650901742,0.9887760693708891
C.88A020,0.6656066266402075,0.09911385847304517,0.0006,0.032793187542497576,0.008499831364658688,0.006705556419358042,0.09364841701045648,0,0.09300232243043796,0.03,0.15238485594707657,0.9885798570344051
C.554_2,0.7865573082487075,0.14091974442606958,0,0,0.0042660293339567374,0.001453912839919987,0.04033350235067934,0,0.026469502800666903,0.01,0.2348418460520636,0.974086470273719
C.Little_R,0.22338728911947142,0.23609507261325088,0,0,0.08316428255255524,0.0020595091430693968,0.08297923798307276,0,0.3723146085885803,0,0.42910821092341594,0.9210552758728165
C.676,0.3498241670727528,0.2807121896695195,0.006965106754096325,0.005519621754973105,0.005262657001234299,0.004202485065812575,0.24648759784703442,0,0.10102617483457683,0.07,0.08791386198190021,0.9964094078601533
C.456,0.9256910535642219,0.02104126480440976,0,0.004359078001567743,0.001,0.0008,0.017439462437466306,0,0.02969101296939853,0,0.43924531803225175,0.9285525477872003
C.537,0.21610409975263428,0.1428407734778667,0.0019863553063417367,0.01443009653053913,0.04856191576306677,0.002036644694690692,0.08821133923049793,0,0.48582877524436274,0,0.39260083487644787,0.9506039418628818
C.MD_And,0.9003565215109813,0.04676824968555621,0,0,0.0009,0.0001,0.02179884629529895,0.0011609922095686136,0.0289211755083774,0,0.44554150330124526,0.9286094991269678
C.724,0.8083867625818614,0.06954023516514969,0,0.0025594246058496008,0.007215748651589199,0.0034079814947224995,0.0701424101699095,0,0.03874743733091808,0.01,0.2123689457918709,0.977928243491462
C.4x0430,0.8268296524310121,0.029898315517360968,0.0001,0,0.005570117730922452,0.005107083076955017,0.07340290499464493,0,0.05908639548347059,0.01,0.22422137213018226,0.9756006320614078
C.95A014,0.7944236319832249,0.12146867224547367,0,0,0.0028548446840858978,0,0.04532764357673286,0.0008,0.035123847712777684,0,0.2641086639661888,0.9686814830709876
C.4X0333,0.4976055265015163,0.10709016131100246,0.0017411611058892567,0.041398234011156276,0.024089301755405444,0.0005,0.17074439644747133,0,0.15680108881201213,0.04,0.11961031764081895,0.9930924411241686
C.522,0.788979400157423,0.04547451358394766,0,0,0.007072170878219085,0.0015050454212849425,0.03717015044093131,0,0.11979871951819401,0.01,0.22405334002780852,0.9759910076036723
C.295,0.8750362926686419,0.046016942733371174,0,0.014262033276373298,0.007677614798086478,0.0011102343341820877,0.027672745001038203,0,0.028192581063894932,0.01,0.23001039912876045,0.9740296229895423
C.4X0212,0.8228027880797287,0.06341731356486291,0,0.029249864615752224,0.007106020932865716,0.003349445672982487,0.036883374921447325,0,0.0371911922123607,0.01,0.23080706365169862,0.9743675460738179
C.570,0.8099216285049656,0.1218755802330997,0,0,0.006723912902396046,0.0019245448944591576,0.020319239143694327,0,0.03923509432138505,0.01,0.21252274136644636,0.9778948550988998
H.SRR1477033,0.8866034178564126,0.03137783249434725,0,0.005997503906117285,0.0023601825732306497,0.0009,0.03550364967629911,0,0.037224707652158365,0,0.3509826163712833,0.9492296371706004
H.SRR601645,0.869274267868331,0.04748544535817151,0,0.0018408852503202916,0.0027067559958539305,0.0018215887231217414,0.023011987753431364,0,0.053859069050770224,0,0.3377188856517811,0.9525419425540567
