GeneSetName	Spearman.rho.estimate	p.value	method	alternative	q.value	n
GO_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	0.36007182361526235	2.19259018218794e-20	Spearman's rank correlation rho	two.sided	1.398334846472645e-16	619
GO_IMMUNE_EFFECTOR_PROCESS	0.3701402985224326	3.906849068158744e-18	Spearman's rank correlation rho	two.sided	1.2458058136664774e-14	514
GO_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	0.39132787233130145	1.4525529449185518e-16	Spearman's rank correlation rho	two.sided	3.0879085624036134e-13	413
GO_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	0.3702083097860797	6.206399223882273e-16	Spearman's rank correlation rho	two.sided	8.203050052085571e-13	445
GO_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	0.37235877714141863	6.431194593186785e-16	Spearman's rank correlation rho	two.sided	8.203050052085571e-13	440
GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	0.41330400786245897	1.708105417764056e-15	Spearman's rank correlation rho	two.sided	1.8155872952697715e-12	326
GO_REGULATION_OF_DEFENSE_RESPONSE	0.4215869775070691	3.3433237989467155e-15	Spearman's rank correlation rho	two.sided	3.0460295701454174e-12	304
GO_POSITIVE_REGULATION_OF_SIGNALING	0.27864718478520584	1.0766694248542366e-14	Spearman's rank correlation rho	two.sided	8.583138262316472e-12	748
GO_WHOLE_MEMBRANE	0.2672623093077027	2.4430722213888378e-14	Spearman's rank correlation rho	two.sided	1.7312010685251402e-11	787
GO_POSITIVE_REGULATION_OF_TRANSPORT	0.3576295685222744	9.377002136570583e-14	Spearman's rank correlation rho	two.sided	5.980227837165043e-11	408
GO_REGULATION_OF_RESPONSE_TO_STRESS	0.2777432284444746	5.976150176355503e-13	Spearman's rank correlation rho	two.sided	3.464834798934476e-10	654
GO_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS	0.457764012654254	1.1449330931300516e-12	Spearman's rank correlation rho	two.sided	6.084887841822835e-10	215
GO_CELL_CELL_SIGNALING	0.2881202582081273	1.7130420841707957e-12	Spearman's rank correlation rho	two.sided	8.379257712832014e-10	577
GO_RESPONSE_TO_CYTOKINE	0.3067780752261074	1.839415611942446e-12	Spearman's rank correlation rho	two.sided	8.379257712832014e-10	510
GO_CELL_ACTIVATION	0.28461595885320945	2.112603299586001e-12	Spearman's rank correlation rho	two.sided	8.551857911424371e-10	587
GO_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	0.41982138561792737	2.1454912311859804e-12	Spearman's rank correlation rho	two.sided	8.551857911424371e-10	257
GO_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE	0.4638302572650775	2.6377221793840486e-12	Spearman's rank correlation rho	two.sided	9.895411181099296e-10	203
GO_REGULATION_OF_TRANSPORT	0.2566382591360996	3.3428867460272363e-12	Spearman's rank correlation rho	two.sided	1.1844122036210145e-9	714
GO_SECRETION	0.26599682538136277	5.064341434800372e-12	Spearman's rank correlation rho	two.sided	1.6194888332642172e-9	652
GO_ACTIVATION_OF_IMMUNE_RESPONSE	0.43126258176722193	5.328672239837476e-12	Spearman's rank correlation rho	two.sided	1.6194888332642172e-9	236
GO_SIGNALING_RECEPTOR_BINDING	0.29939315693815655	5.332655609895034e-12	Spearman's rank correlation rho	two.sided	1.6194888332642172e-9	514
GO_PROTEOLYSIS	0.24237133224472587	1.4378547669154947e-11	Spearman's rank correlation rho	two.sided	4.168176070887166e-9	756
