Input.Sample	cell.type	percent	Species
C.Little_R	endothelial.cell	0.3028946672546829	Chimp
C.537	endothelial.cell	0.2078860325914992	Chimp
H.SRR613186	endothelial.cell	0.18939645474502925	Human
H.59167	endothelial.cell	0.17344147814760444	Human
C.495	endothelial.cell	0.20047164057143868	Chimp
H.SRR1489693	endothelial.cell	0.2060633523841324	Human
C.558	endothelial.cell	0.17234588247311378	Chimp
C.529	endothelial.cell	0.13237384266435176	Chimp
H.SRR608096	endothelial.cell	0.07385121419285577	Human
H.59263	endothelial.cell	0.08480539439075399	Human
H.SRR612335	endothelial.cell	0.07411582361638214	Human
C.4X0354	endothelial.cell	0.1617357433073958	Chimp
H.SRR598148	endothelial.cell	0.11578175157123821	Human
H.61317	endothelial.cell	0.09568635914994067	Human
H.SRR604174	endothelial.cell	0.05996379812357037	Human
C.570	endothelial.cell	0.09628781768247119	Chimp
C.4x0025	endothelial.cell	0.08406758583820176	Chimp
H.SRR604122	endothelial.cell	0.0965912925697474	Human
H.SRR604230	endothelial.cell	0.08222414851633683	Human
H.SRR599086	endothelial.cell	0.10431724756305384	Human
H.SRR612875	endothelial.cell	0.072499709815843	Human
H.59511	endothelial.cell	0.07995745138808533	Human
H.SRR607252	endothelial.cell	0.04285404432248459	Human
H.59365	endothelial.cell	0.05910152768362684	Human
C.4x523	endothelial.cell	0.05616061695419581	Chimp
C.676	endothelial.cell	0.08152732824364725	Chimp
C.4x373	endothelial.cell	0.07292087119427552	Chimp
H.SRR598589	endothelial.cell	0.062031017178210225	Human
C.4x0519	endothelial.cell	0.06556043590461845	Chimp
C.338	endothelial.cell	0.08471038165782914	Chimp
H.SRR602106	endothelial.cell	0.08875841639497471	Human
C.549	endothelial.cell	0.06382437774730196	Chimp
C.4X0333	endothelial.cell	0.08400597998644901	Chimp
H.SRR601613	endothelial.cell	0.0580447301357481	Human
H.63060	endothelial.cell	0.06514323725617159	Human
C.317	endothelial.cell	0.0708197784766722	Chimp
H.SRR614683	endothelial.cell	0.0739967083079238	Human
H.SRR599249	endothelial.cell	0.07498740832157214	Human
C.4x0043	endothelial.cell	0.0547917722153031	Chimp
C.4x0430	endothelial.cell	0.06959181438852126	Chimp
H.SRR601645	endothelial.cell	0.06414739941921174	Human
H.SRR600474	endothelial.cell	0.06340040899537552	Human
