Source	Individual	Cluster1Membership	Cluster2Membership	Cluster3Membership	Cluster4Membership
This Study	Jarred	1e-5	1e-5	0.99997	1e-5
This Study	Waga	1.3e-5	0.059266	0.940711	1e-5
This Study	Rogger	1e-5	1e-5	0.99997	1e-5
This Study	Mai	1.1e-5	1e-5	0.999969	1e-5
This Study	Joelson	1e-5	1e-5	0.99997	1e-5
This Study	Cheeta	1e-5	1e-5	0.99997	1e-5
This Study	Kerri	1e-5	0.344779	0.655201	1e-5
This Study	Peony	1e-5	1e-5	0.99997	1e-5
This Study	MD_And	1.2e-5	1.7e-5	0.999961	1e-5
This Study	Maxine	1e-5	1e-5	0.99997	1e-5
This Study	Lulu	1.9e-5	1e-5	0.999961	1e-5
This Study	Amos	1e-5	0.561417	0.438563	1e-5
This Study	Cynthia	1.1e-5	1e-5	0.999969	1e-5
This Study	Carmichael	1.1e-5	1e-5	0.999969	1e-5
This Study	4x0430	1e-5	0.282423	0.685917	0.031651
This Study	Iyk	1.1e-5	1e-5	0.999969	1e-5
This Study	Callie	1.9e-5	1.6e-5	0.999955	1e-5
This Study	Ursula	1.1e-5	1e-5	0.999969	1e-5
This Study	4X0333	1e-5	1e-5	0.99997	1e-5
This Study	4X0095	1.1e-5	1e-5	0.999969	1e-5
This Study	Unnamed_female	0.177156	0.142341	0.679433	0.00107
This Study	4x523	1.78e-4	0.230881	0.738454	0.030487
This Study	88A020	1.4e-5	1e-5	0.999966	1e-5
This Study	95A014	1e-5	1e-5	0.99997	1e-5
This Study	4x0043	1.1e-5	1e-5	0.999969	1e-5
This Study	Justin	0.190411	0.027603	0.781977	1e-5
This Study	4X0550	1e-5	1e-5	0.99997	1e-5
This Study	4X0267	1.1e-5	1e-5	0.999969	1e-5
This Study	4X0357	1e-5	1e-5	0.99997	1e-5
This Study	Barbara	0.330492	0.533304	0.136194	1e-5
This Study	Anja	1.9e-5	1e-5	0.999961	1e-5
This Study	4X0212	1e-5	1e-5	0.99997	1e-5
This Study	4x0025	1.1e-5	1e-5	0.999969	1e-5
This Study	4x0519	1.3e-5	0.203053	0.796924	1e-5
This Study	Duncan	0.184097	1e-5	0.815883	1e-5
This Study	Little_Rock_chimp	1e-5	1e-5	0.99997	1e-5
This Study	Socrates	1e-5	1e-5	0.99997	1e-5
This Study	4X0339	1e-5	1e-5	0.99997	1e-5
This Study	4X0354	1e-5	0.435208	1e-5	0.564772
Eastern	A996_Diana	1e-5	1e-5	1e-5	0.99997
Eastern	B010_Ikuru	1.1e-5	1e-5	1e-5	0.999969
Eastern	N018_Trixie	1.1e-5	1e-5	1e-5	0.999969
Nigeria	NA	NA	NA	NA	NA
Cameroon	Akwaya_Jean	0.99997	1e-5	1e-5	1e-5
Nigeria	NA	NA	NA	NA	NA
Cameroon	Banyo	0.99997	1e-5	1e-5	1e-5
