ID	ONTOLOGY	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	Count	genes	genes_ensembl
GO:0000139	CC	Golgi membrane	4/17	43/656	0.020383652877744265	0.04222328096104169	0.021073325343532606	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0000323	CC	lytic vacuole	5/17	35/656	0.0012589887648679673	0.0052158105973101505	0.002603172258185647	5	CD1D, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000158473, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0002478	BP	antigen processing and presentation of exogenous peptide antigen	4/18	16/632	6.8107728189011e-4	0.039015998576847725	0.03748485491304967	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0003823	MF	antigen binding	5/16	12/640	3.546187590803725e-6	2.0213269267581232e-4	1.9410711023346705e-4	5	CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0005764	CC	lysosome	5/17	35/656	0.0012589887648679673	0.0052158105973101505	0.002603172258185647	5	CD1D, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000158473, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0005765	CC	lysosomal membrane	5/17	24/656	1.9612906308949242e-4	0.002068270119852829	0.0010322582267868023	5	CD1D, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000158473, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0005768	CC	endosome	7/17	48/656	8.064296623150554e-5	0.0018404821460148099	9.185709440182809e-4	7	CD1D, DGKQ, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000158473, ENSG00000145214, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0005773	CC	vacuole	5/17	38/656	0.0018560071888200167	0.006945059158165223	0.0034662273475416275	5	CD1D, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000158473, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0005774	CC	vacuolar membrane	5/17	25/656	2.4133397891399808e-4	0.0021724288336127788	0.0010842430657777027	5	CD1D, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000158473, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0005783	CC	endoplasmic reticulum	8/17	94/656	0.0010751090205052512	0.004988505855144366	0.002489726152749003	8	CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, LMF1, PIGZ, UVSSA	ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000103227, ENSG00000119227, ENSG00000163945
GO:0005789	CC	endoplasmic reticulum membrane	7/17	59/656	3.191882597670411e-4	0.0021724288336127788	0.0010842430657777027	7	CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, LMF1, PIGZ	ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000103227, ENSG00000119227
GO:0005794	CC	Golgi apparatus	5/17	66/656	0.02106260319093801	0.04286424509032999	0.02139322577103584	5	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, LMF1	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000103227
GO:0005798	CC	Golgi-associated vesicle	4/17	19/656	9.470126155431103e-4	0.004697172586845137	0.0023443238863564662	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0005802	CC	trans-Golgi network	3/17	14/656	0.0044213620117004955	0.011927395194354824	0.005952874189560031	3	HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0005886	CC	plasma membrane	10/17	171/656	0.0038511453775558484	0.01116832159491196	0.005574026204357149	10	CD1D, DGKQ, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3, SLC41A3, TRIM4, UVSSA	ENSG00000158473, ENSG00000145214, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194, ENSG00000114544, ENSG00000146833, ENSG00000163945
GO:0005887	CC	integral component of plasma membrane	4/17	28/656	0.0043218204082008105	0.011927395194354824	0.005952874189560031	4	CD1D, HLA-DQA1, HLA-DQA2, SLC30A3	ENSG00000158473, ENSG00000196735, ENSG00000237541, ENSG00000115194
GO:0010008	CC	endosome membrane	6/17	36/656	1.4279602857011456e-4	0.0018404821460148099	9.185709440182809e-4	6	CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0012505	CC	endomembrane system	10/17	185/656	0.007231882262241627	0.016777966848400574	0.008373758408911358	10	CD1D, DGKQ, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, LMF1, PIGZ, SLC30A3, UVSSA	ENSG00000158473, ENSG00000145214, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000103227, ENSG00000119227, ENSG00000115194, ENSG00000163945
GO:0012506	CC	vesicle membrane	6/17	40/656	2.6490870605138056e-4	0.0021724288336127788	0.0010842430657777027	6	DGKQ, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000145214, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0012507	CC	ER to Golgi transport vesicle membrane	4/17	12/656	1.3544863436431122e-4	0.0018404821460148099	9.185709440182809e-4	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
