ID	ONTOLOGY	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	Count	genes	genes_ensembl
GO:0006351	BP	transcription, DNA-templated	29/95	45/225	7.03733957087891e-4	0.033286616170257244	0.02689004488662152	29	BTG2, CBX5, CDK1, CDT1, CHD2, CIART, CTCF, DDX58, DNAJA3, EDN1, GTF3C4, HNRNPU, KIT, MED30, NAT14, NCBP2, NPNT, NR3C2, PDCD4, PRDM10, PSMB7, PSMC2, PTEN, RYBP, SMAD4, ZFP82, ZKSCAN1, ZNF250	ENSG00000152454, ENSG00000159388, ENSG00000094916, ENSG00000170312, ENSG00000167513, ENSG00000173575, ENSG00000159208, ENSG00000102974, ENSG00000107201, ENSG00000103423, ENSG00000078401, ENSG00000125484, ENSG00000153187, ENSG00000157404, ENSG00000164758, ENSG00000090971, ENSG00000114503, ENSG00000168743, ENSG00000151623, ENSG00000150593, ENSG00000170325, ENSG00000136930, ENSG00000161057, ENSG00000171862, ENSG00000163602, ENSG00000141646, ENSG00000181007, ENSG00000106261, ENSG00000196150
GO:0006355	BP	regulation of transcription, DNA-templated	26/95	40/225	0.0012334863751399985	0.04861992128676827	0.039276802997878904	26	BTG2, CBX5, CDT1, CHD2, CIART, CTCF, DDX58, DNAJA3, EDN1, HNRNPU, KIT, MED30, NAT14, NPNT, NR3C2, PDCD4, PRDM10, PSMB7, PSMC2, PTEN, RYBP, SMAD4, ZFP82, ZKSCAN1, ZNF250	ENSG00000152454, ENSG00000159388, ENSG00000094916, ENSG00000167513, ENSG00000173575, ENSG00000159208, ENSG00000102974, ENSG00000107201, ENSG00000103423, ENSG00000078401, ENSG00000153187, ENSG00000157404, ENSG00000164758, ENSG00000090971, ENSG00000168743, ENSG00000151623, ENSG00000150593, ENSG00000170325, ENSG00000136930, ENSG00000161057, ENSG00000171862, ENSG00000163602, ENSG00000141646, ENSG00000181007, ENSG00000106261, ENSG00000196150
GO:0006366	BP	transcription by RNA polymerase II	25/95	37/225	6.374676763378387e-4	0.033286616170257244	0.02689004488662152	25	BTG2, CBX5, CDK1, CHD2, CTCF, DDX58, DNAJA3, EDN1, HNRNPU, KIT, MED30, NCBP2, NPNT, NR3C2, PDCD4, PRDM10, PSMB7, PSMC2, PTEN, RYBP, SMAD4, ZFP82, ZKSCAN1, ZNF250	ENSG00000152454, ENSG00000159388, ENSG00000094916, ENSG00000170312, ENSG00000173575, ENSG00000102974, ENSG00000107201, ENSG00000103423, ENSG00000078401, ENSG00000153187, ENSG00000157404, ENSG00000164758, ENSG00000114503, ENSG00000168743, ENSG00000151623, ENSG00000150593, ENSG00000170325, ENSG00000136930, ENSG00000161057, ENSG00000171862, ENSG00000163602, ENSG00000141646, ENSG00000181007, ENSG00000106261, ENSG00000196150
GO:0010468	BP	regulation of gene expression	34/95	54/225	3.7575103550261725e-4	0.033286616170257244	0.02689004488662152	34	BTG2, CBX5, CDK1, CDT1, CHD2, CIART, CTCF, DDX58, DNAJA3, EDN1, EXOSC3, FASTKD3, GAS1, HNRNPU, KBTBD8, KIT, MED30, NAT14, NCBP2, NPNT, NR3C2, PDCD4, PRDM10, PSMB7, PSMC2, PTEN, RPL35A, RYBP, SART3, SMAD4, ZFP82, ZKSCAN1, ZNF250	ENSG00000152454, ENSG00000159388, ENSG00000094916, ENSG00000170312, ENSG00000167513, ENSG00000173575, ENSG00000159208, ENSG00000102974, ENSG00000107201, ENSG00000103423, ENSG00000078401, ENSG00000107371, ENSG00000124279, ENSG00000180447, ENSG00000153187, ENSG00000163376, ENSG00000157404, ENSG00000164758, ENSG00000090971, ENSG00000114503, ENSG00000168743, ENSG00000151623, ENSG00000150593, ENSG00000170325, ENSG00000136930, ENSG00000161057, ENSG00000171862, ENSG00000182899, ENSG00000163602, ENSG00000075856, ENSG00000141646, ENSG00000181007, ENSG00000106261, ENSG00000196150
GO:0010564	BP	regulation of cell cycle process	13/95	14/225	7.328215235675135e-5	0.033286616170257244	0.02689004488662152	13	BTG2, CBX5, CDK1, CDT1, CTCF, EDN1, HNRNPU, PSMB7, PSMC2, PTEN, RACGAP1, RYBP, UHRF2	ENSG00000159388, ENSG00000094916, ENSG00000170312, ENSG00000167513, ENSG00000102974, ENSG00000078401, ENSG00000153187, ENSG00000136930, ENSG00000161057, ENSG00000171862, ENSG00000161800, ENSG00000163602, ENSG00000147854
GO:0019219	BP	regulation of nucleobase-containing compound metabolic process	32/95	51/225	6.84947715449382e-4	0.033286616170257244	0.02689004488662152	32	BTG2, CBX5, CDK1, CDT1, CHD2, CHTF18, CIART, CTCF, DDX58, DNAJA3, EDN1, EXOSC3, FASTKD3, HNRNPU, KIT, MED30, NAT14, NCBP2, NPNT, NR3C2, PDCD4, PRDM10, PSMB7, PSMC2, PTEN, RYBP, SMAD4, TFRC, ZFP82, ZKSCAN1, ZNF250	ENSG00000152454, ENSG00000159388, ENSG00000094916, ENSG00000170312, ENSG00000167513, ENSG00000173575, ENSG00000127586, ENSG00000159208, ENSG00000102974, ENSG00000107201, ENSG00000103423, ENSG00000078401, ENSG00000107371, ENSG00000124279, ENSG00000153187, ENSG00000157404, ENSG00000164758, ENSG00000090971, ENSG00000114503, ENSG00000168743, ENSG00000151623, ENSG00000150593, ENSG00000170325, ENSG00000136930, ENSG00000161057, ENSG00000171862, ENSG00000163602, ENSG00000141646, ENSG00000072274, ENSG00000181007, ENSG00000106261, ENSG00000196150
GO:0022402	BP	cell cycle process	15/95	19/225	7.974003980695308e-4	0.03428821711698982	0.027699171722415282	15	BTG2, CBX5, CDK1, CDT1, CTCF, EDN1, GAS1, GAS2L1, HNRNPU, PSMB7, PSMC2, PTEN, RACGAP1, RYBP, UHRF2	ENSG00000159388, ENSG00000094916, ENSG00000170312, ENSG00000167513, ENSG00000102974, ENSG00000078401, ENSG00000180447, ENSG00000185340, ENSG00000153187, ENSG00000136930, ENSG00000161057, ENSG00000171862, ENSG00000161800, ENSG00000163602, ENSG00000147854
GO:0032774	BP	RNA biosynthetic process	29/95	45/225	7.03733957087891e-4	0.033286616170257244	0.02689004488662152	29	BTG2, CBX5, CDK1, CDT1, CHD2, CIART, CTCF, DDX58, DNAJA3, EDN1, GTF3C4, HNRNPU, KIT, MED30, NAT14, NCBP2, NPNT, NR3C2, PDCD4, PRDM10, PSMB7, PSMC2, PTEN, RYBP, SMAD4, ZFP82, ZKSCAN1, ZNF250	ENSG00000152454, ENSG00000159388, ENSG00000094916, ENSG00000170312, ENSG00000167513, ENSG00000173575, ENSG00000159208, ENSG00000102974, ENSG00000107201, ENSG00000103423, ENSG00000078401, ENSG00000125484, ENSG00000153187, ENSG00000157404, ENSG00000164758, ENSG00000090971, ENSG00000114503, ENSG00000168743, ENSG00000151623, ENSG00000150593, ENSG00000170325, ENSG00000136930, ENSG00000161057, ENSG00000171862, ENSG00000163602, ENSG00000141646, ENSG00000181007, ENSG00000106261, ENSG00000196150
GO:0045786	BP	negative regulation of cell cycle	14/95	16/225	1.559624583594459e-4	0.033286616170257244	0.02689004488662152	14	BTG2, CBX5, CDK1, CDT1, GAS1, GAS2L1, HECA, PDCD4, PSMB7, PSMC2, PTEN, RYBP, SLC9A3R1, UHRF2	ENSG00000159388, ENSG00000094916, ENSG00000170312, ENSG00000167513, ENSG00000180447, ENSG00000185340, ENSG00000112406, ENSG00000150593, ENSG00000136930, ENSG00000161057, ENSG00000171862, ENSG00000163602, ENSG00000109062, ENSG00000147854
GO:0051726	BP	regulation of cell cycle	18/95	23/225	2.471094119449762e-4	0.033286616170257244	0.02689004488662152	18	BTG2, CBX5, CDK1, CDT1, CTCF, EDN1, GAS1, GAS2L1, HECA, HNRNPU, PDCD4, PSMB7, PSMC2, PTEN, RACGAP1, RYBP, SLC9A3R1, UHRF2	ENSG00000159388, ENSG00000094916, ENSG00000170312, ENSG00000167513, ENSG00000102974, ENSG00000078401, ENSG00000180447, ENSG00000185340, ENSG00000112406, ENSG00000153187, ENSG00000150593, ENSG00000136930, ENSG00000161057, ENSG00000171862, ENSG00000161800, ENSG00000163602, ENSG00000109062, ENSG00000147854
