ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge
BP	GO:0051301	cell division	410	-0.35937768574132106	-1.851291412148683	1.6128511983484405e-5	0.002045799386639036	0.0017570080177323883	2482	tags=33%, list=23%, signal=26%
BP	GO:0048285	organelle fission	254	-0.36620674008226717	-1.793446854713293	1.68984571708603e-5	0.002045799386639036	0.0017570080177323883	1682	tags=27%, list=16%, signal=23%
BP	GO:0000280	nuclear division	223	-0.40318667321844226	-1.9445514118571738	1.7023594702257328e-5	0.002045799386639036	0.0017570080177323883	1682	tags=29%, list=16%, signal=25%
BP	GO:0007059	chromosome segregation	178	-0.4912746075764111	-2.301205641075409	1.7300140131135063e-5	0.002045799386639036	0.0017570080177323883	1840	tags=37%, list=17%, signal=31%
BP	GO:0140014	mitotic nuclear division	172	-0.43802756604984405	-2.0417826878746883	1.7369856351287976e-5	0.002045799386639036	0.0017570080177323883	1682	tags=31%, list=16%, signal=26%
BP	GO:0098813	nuclear chromosome segregation	139	-0.49888545143288177	-2.2571362902253465	1.7613075947583487e-5	0.002045799386639036	0.0017570080177323883	1682	tags=37%, list=16%, signal=31%
CC	GO:0000793	condensed chromosome	126	-0.46427358992366907	-2.071121871773597	1.7649758198312683e-5	0.002045799386639036	0.0017570080177323883	2412	tags=40%, list=22%, signal=32%
BP	GO:0000819	sister chromatid segregation	111	-0.5195205984485192	-2.270857244646335	1.783198701831345e-5	0.002045799386639036	0.0017570080177323883	1682	tags=38%, list=16%, signal=32%
BP	GO:0000070	mitotic sister chromatid segregation	97	-0.5140553019330975	-2.198146226489862	1.798011399392272e-5	0.002045799386639036	0.0017570080177323883	1682	tags=36%, list=16%, signal=31%
BP	GO:0051983	regulation of chromosome segregation	63	-0.6364965032218184	-2.522710966073589	1.827318410232983e-5	0.002045799386639036	0.0017570080177323883	1682	tags=49%, list=16%, signal=42%
BP	GO:0035024	negative regulation of Rho protein signal transduction	18	-0.7992733024056131	-2.376216975050125	1.9173984737508147e-05	0.002045799386639036	0.0017570080177323883	110	tags=17%, list=1%, signal=17%
