sample	fastq
462	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-462_S22_L001_R1_001.fastq.gz
462	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-462_S22_L002_R1_001.fastq.gz
462	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-462_S22_L003_R1_001.fastq.gz
462	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-462_S22_L004_R1_001.fastq.gz
462	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-462_S22_L005_R1_001.fastq.gz
462	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-462_S22_L006_R1_001.fastq.gz
4X0095	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0095_S1_L001_R1_001.fastq.gz
4X0095	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0095_S1_L002_R1_001.fastq.gz
4X0095	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0095_S1_L003_R1_001.fastq.gz
4X0095	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0095_S1_L004_R1_001.fastq.gz
4X0095	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0095_S1_L005_R1_001.fastq.gz
4X0095	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0095_S1_L006_R1_001.fastq.gz
4X0212	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0212_S2_L001_R1_001.fastq.gz
4X0212	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0212_S2_L002_R1_001.fastq.gz
4X0212	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0212_S2_L003_R1_001.fastq.gz
4X0212	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0212_S2_L004_R1_001.fastq.gz
4X0212	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0212_S2_L005_R1_001.fastq.gz
4X0212	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0212_S2_L006_R1_001.fastq.gz
4X0267	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0267_S3_L001_R1_001.fastq.gz
4X0267	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0267_S3_L002_R1_001.fastq.gz
4X0267	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0267_S3_L003_R1_001.fastq.gz
4X0267	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0267_S3_L004_R1_001.fastq.gz
4X0267	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0267_S3_L005_R1_001.fastq.gz
4X0267	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0267_S3_L006_R1_001.fastq.gz
4X0333	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0333_S4_L001_R1_001.fastq.gz
4X0333	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0333_S4_L002_R1_001.fastq.gz
4X0333	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0333_S4_L003_R1_001.fastq.gz
4X0333	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0333_S4_L004_R1_001.fastq.gz
4X0333	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0333_S4_L005_R1_001.fastq.gz
4X0333	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0333_S4_L006_R1_001.fastq.gz
