     FID                         IID       O(HOM)       E(HOM)        N(NM)            F
     295   Pan_troglodytes_ThisStudy      7947394    7.569e+06     10277099       0.1397
     317   Pan_troglodytes_ThisStudy      7663288    7.569e+06     10276542      0.03489
     338   Pan_troglodytes_ThisStudy      7921992    7.569e+06     10277191       0.1303
     389   Pan_troglodytes_ThisStudy      7991032    7.569e+06     10276645       0.1559
     438   Pan_troglodytes_ThisStudy      7855254    7.569e+06     10277192       0.1056
     456   Pan_troglodytes_ThisStudy      7970770    7.569e+06     10277040       0.1483
     462   Pan_troglodytes_ThisStudy      6631165    7.569e+06     10276964      -0.3464
     476   Pan_troglodytes_ThisStudy      7981924    7.569e+06     10276953       0.1524
     495   Pan_troglodytes_ThisStudy      7999762    7.568e+06     10275784       0.1594
  4x0025   Pan_troglodytes_ThisStudy      7979508    7.569e+06     10277062       0.1515
  4x0043   Pan_troglodytes_ThisStudy      7967187    7.569e+06     10276569       0.1471
  4X0095   Pan_troglodytes_ThisStudy      5989930    7.569e+06     10276482      -0.5831
  4X0212   Pan_troglodytes_ThisStudy      7918766    7.569e+06     10277141       0.1291
  4X0267   Pan_troglodytes_ThisStudy      7830409    7.569e+06     10276927      0.09651
  4X0333   Pan_troglodytes_ThisStudy      6974198    7.569e+06     10276321      -0.2195
  4X0339   Pan_troglodytes_ThisStudy      7933034    7.569e+06     10277121       0.1343
  4X0354   Pan_troglodytes_ThisStudy      7740765     7.57e+06     10277536      0.06324
  4X0357   Pan_troglodytes_ThisStudy      7878349    7.569e+06     10277052       0.1142
  4x0430   Pan_troglodytes_ThisStudy      7872371    7.569e+06     10277462       0.1119
  4x0519   Pan_troglodytes_ThisStudy      8054079    7.569e+06     10277498       0.1789
  4X0550   Pan_troglodytes_ThisStudy      7368598    7.569e+06     10277006     -0.07406
   4x373   Pan_troglodytes_ThisStudy      7117184    7.569e+06     10276838      -0.1669
   4x523   Pan_troglodytes_ThisStudy      7930421    7.569e+06     10276803       0.1335
     503   Pan_troglodytes_ThisStudy      7950718    7.569e+06     10277047       0.1409
     522   Pan_troglodytes_ThisStudy      8032374    7.569e+06     10276865       0.1711
     529   Pan_troglodytes_ThisStudy      7454012    7.569e+06     10277391     -0.04261
     537   Pan_troglodytes_ThisStudy      7933778     7.57e+06     10277581       0.1345
     549   Pan_troglodytes_ThisStudy      7930461    7.569e+06     10277368       0.1333
     554   Pan_troglodytes_ThisStudy      7881251     7.57e+06     10277863        0.115
   554_2   Pan_troglodytes_ThisStudy      7089180    7.567e+06     10274636      -0.1767
     558   Pan_troglodytes_ThisStudy      7919414     7.57e+06     10277753       0.1291
     570   Pan_troglodytes_ThisStudy      7922547    7.569e+06     10276890       0.1305
     623   Pan_troglodytes_ThisStudy      7968641    7.569e+06     10277012       0.1475
     676   Pan_troglodytes_ThisStudy      7332449    7.569e+06     10277137     -0.08745
     724   Pan_troglodytes_ThisStudy      7486094    7.569e+06     10276898     -0.03065
  88A020   Pan_troglodytes_ThisStudy      8059979    7.569e+06     10276794       0.1813
  95A014   Pan_troglodytes_ThisStudy      7925251    7.569e+06     10276826       0.1316
Little_R   Pan_troglodytes_ThisStudy      8146361     7.57e+06     10277564        0.213
  MD_And   Pan_troglodytes_ThisStudy      8384267    7.567e+06     10273621        0.302
