sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
295	295	WGS of captive born chimpanzee Duncan from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG3_S3_R1_001.fastq.gz	YG-LB-PanTro-YG3_S3_R2_001.fastq.gz				
317	317	WGS of captive born chimpanzee Iyk from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG2_S2_R1_001.fastq.gz	YG-LB-PanTro-YG2_S2_R2_001.fastq.gz				
338	338	WGS of captive born chimpanzee Maxine from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG1_S1_R1_001.fastq.gz	YG-LB-PanTro-YG1_S1_R2_001.fastq.gz				
389	389	WGS of captive born chimpanzee Rogger from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-SB-PanTro-YG39_S15_R1_001.fastq.gz	YG-LB-SB-PanTro-YG39_S15_R2_001.fastq.gz				
438	438	WGS of captive born chimpanzee Cheeta from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG22_S22_R1_001.fastq.gz	YG-LB-PanTro-YG22_S22_R2_001.fastq.gz				
456	456	WGS of captive born chimpanzee Mai from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG23_S23_R1_001.fastq.gz	YG-LB-PanTro-YG23_S23_R2_001.fastq.gz				
462	462	WGS of captive born chimpanzee Barbara from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG24_S24_R1_001.fastq.gz	YG-LB-PanTro-YG24_S24_R2_001.fastq.gz				
476	476	WGS of captive born chimpanzee Lulu from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG12_S12_R1_001.fastq.gz	YG-LB-PanTro-YG12_S12_R2_001.fastq.gz				
495	495	WGS of captive born chimpanzee Amos from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG8_S8_R1_001.fastq.gz	YG-LB-PanTro-YG8_S8_R2_001.fastq.gz				
503	503	WGS of captive born chimpanzee Carmichael from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-SB-PanTro-YG36_S12_R1_001.fastq.gz	YG-LB-SB-PanTro-YG36_S12_R2_001.fastq.gz				
522	522	WGS of captive born chimpanzee Peony from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG4_S4_R1_001.fastq.gz	YG-LB-PanTro-YG4_S4_R2_001.fastq.gz				
529	529	WGS of captive born chimpanzee Justin from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-SB-PanTro-YG37_S13_R1_001.fastq.gz	YG-LB-SB-PanTro-YG37_S13_R2_001.fastq.gz				
537	537	WGS of captive born chimpanzee Socrates from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG13_S13_R1_001.fastq.gz	YG-LB-PanTro-YG13_S13_R2_001.fastq.gz				
549	549	WGS of captive born chimpanzee Jarred from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG17_S17_R1_001.fastq.gz	YG-LB-PanTro-YG17_S17_R2_001.fastq.gz				
554	554	WGS of captive born chimpanzee Unnamed_female from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-SB-PanTro-YG33_S9_R1_001.fastq.gz	YG-LB-SB-PanTro-YG33_S9_R2_001.fastq.gz				
558	558	WGS of captive born chimpanzee Cynthia from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG7_S7_R1_001.fastq.gz	YG-LB-PanTro-YG7_S7_R2_001.fastq.gz				
570	570	WGS of captive born chimpanzee Waga from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG6_S6_R1_001.fastq.gz	YG-LB-PanTro-YG6_S6_R2_001.fastq.gz				
623	623	WGS of captive born chimpanzee Joelson from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-PanTro-YG11_S11_R1_001.fastq.gz	YG-LB-PanTro-YG11_S11_R2_001.fastq.gz				
676	676	WGS of captive born chimpanzee Callie from Yerkes	WGS	GENOMIC	RANDOM	paired	ILLUMINA	Illumina NovaSeq 6000	Nextera DNA Flex Library prep kit according to manufacturer's instructions.	fastq	YG-LB-SB-PanTro-YG35_S11_R1_001.fastq.gz	YG-LB-SB-PanTro-YG35_S11_R2_001.fastq.gz				
