IID	549	570	389	456	623	438	724	522	338	476	495	558	503	4x0430	317	676	4x373	4X0333	4X0095	554	4x523	88A020	95A014	4x0043	529	4X0550	4X0267	4X0357	462	554_2	4X0212	4x0025	4x0519	295	Little_R	537	4X0339	4X0354
PC1.RS	 -4.6671389	-26.1710828	-11.1101394	-12.6404247	 -4.3640984	 -1.4498584	-21.0578454	-12.4893238	-24.9572534	-11.9529579	 50.9788389	 84.9548137	 -0.2127408	-35.1478044	-20.9478859	-18.0083558	-14.5603875	-24.9379189	 -8.8393599	-24.3314095	-33.2376632	-11.2296681	-16.3502202	-16.9671933	 41.7608044	-25.0626524	-29.0210945	  4.6571111	 -1.6699147	-10.7351772	-16.9547828	-39.5164346	-37.5044833	 -4.4506068	108.2370478	113.2855069	 72.4481625	 64.4069774
PC2.RS	 -4.3375035	-21.6697827	  8.3594629	  7.7149310	 11.4830846	 15.0424731	  0.1968575	  8.8510347	 -5.7497750	 14.6417858	-10.8136469	  3.0086759	 24.7673589	-10.3794142	 -0.1866276	 -0.2689843	 -8.5411432	 -9.9294523	  4.4755158	  4.1510345	-26.0707696	 12.9561345	  1.3257869	-11.4492868	 -7.1557796	  1.5507298	  3.3727728	 13.1198594	  2.5833339	 10.0813352	  2.3004992	-32.2372103	-12.8248016	 15.2199047	-35.4712198	-14.5526529	 42.8206393	 -0.9346548
PC3.RS	  4.2139684	  9.7196123	  0.9078538	  2.5241961	 13.6712695	  3.0373196	  0.9699229	  5.1954610	  6.5689672	 -0.8687375	 12.3040061	 -1.0172486	 10.2526758	 -1.3376464	  1.1315354	  3.3802363	 -8.0894655	 -0.2424765	  1.9887210	  5.4549860	  0.5869073	  3.5973730	 -2.0260809	 -8.4029382	  1.6618992	 -8.1996543	  0.8435924	-12.3538209	  8.0436919	 -2.7301627	 -7.1071920	-12.3115231	  1.9554952	  9.3873162	 16.0991363	  3.1108955	 -0.5672118	-46.8640748
PC1.GT	-0.1085980	-0.0945827	-0.1101630	-0.1080570	-0.1098320	-0.1081420	-0.0378419	-0.1083980	-0.1081500	-0.1083960	 0.0133693	-0.1090570	-0.1107340	-0.0422648	-0.1089490	-0.1051800	-0.1092620	-0.1094040	-0.1083620	-0.0522406	-0.0548972	-0.1083140	-0.1083140	-0.1081420	-0.0745853	-0.1082120	-0.1086980	-0.1090900	 0.0696170	-0.1083110	-0.1085550	-0.1083620	-0.0691744	-0.0819553	-0.1082080	-0.1077380	-0.1097850	 0.1400900
PC2.GT	-0.0184943	-0.0228220	-0.0206061	-0.0178108	-0.0206678	-0.0177823	-0.0298039	-0.0179836	-0.0179254	-0.0182646	-0.0312946	-0.0192725	-0.0214998	-0.0288509	-0.0190248	-0.0222267	-0.0189720	-0.0193025	-0.0184038	 0.0408846	-0.0254363	-0.0178967	-0.0184395	-0.0181587	 0.0431692	-0.0186956	-0.0185368	-0.0191630	 0.1020240	-0.0182602	-0.0185807	-0.0180731	-0.0264851	 0.0484042	-0.0182170	-0.0182431	-0.0196049	-0.0831354
PC3.GT	 0.00473136	-0.01402360	 0.00324511	 0.00445967	 0.00419034	 0.00457240	-0.07869440	 0.00572803	 0.00488937	 0.00472419	-0.11741300	 0.00467444	 0.00254611	-0.04665120	 0.00517533	-0.00449680	 0.00498487	 0.00525468	 0.00337777	-0.01409720	-0.03654510	 0.00466857	 0.00464271	 0.00455204	 0.00821902	 0.00394814	 0.00442922	 0.00497193	-0.09218540	 0.00476490	 0.00486951	 0.00455010	-0.03892810	 0.01517940	 0.00496327	 0.00538234	 0.00569030	 0.02336050
PC4.GT	-0.01504980	 0.17937500	 0.02190850	-0.01031300	-0.01379270	-0.01082200	 0.51148800	-0.02031090	-0.01308250	-0.00416660	 0.52343200	-0.01372030	 0.00265550	-0.09527470	-0.01046260	 0.12121100	-0.02224940	-0.02456840	-0.01384650	 0.05384000	-0.02341250	-0.01716090	-0.01054710	-0.01101090	 0.00156669	-0.00859450	-0.00181237	-0.02109590	 0.42924700	-0.01340310	-0.01482890	-0.00430479	-0.27019400	-0.00464228	-0.01236420	-0.01002780	-0.02605880	-0.19175300
PC5.GT	-0.03198180	 0.06713470	-0.10049400	-0.01855960	-0.10128600	-0.01977560	 0.20805300	-0.05638250	-0.02937450	-0.01906560	 0.18087300	-0.01390230	-0.11955800	-0.07208110	-0.02308780	-0.02662210	-0.04575250	-0.03661430	 0.00907168	 0.09146860	-0.12236000	-0.01988980	-0.02825640	-0.01913260	 0.02430460	-0.00449872	-0.02222820	-0.03094170	 0.13430900	-0.02136070	-0.02802530	-0.02072410	 0.60977300	 0.04158920	-0.04069420	-0.04377380	-0.05397780	-0.13704400
PC6.GT	-4.60538e-04	-1.11882e-02	 9.05601e-03	-1.79498e-04	 1.18115e-02	-9.59911e-04	-2.78978e-02	 3.54914e-03	 1.14185e-04	-7.89627e-04	-2.47590e-02	-1.51995e-03	 1.39137e-02	-8.65669e-03	-6.03798e-04	-7.78995e-04	 9.87930e-04	 7.32244e-04	-1.90401e-03	-3.75521e-03	 1.97139e-02	-4.43656e-05	 3.46446e-04	 2.72929e-04	-1.47805e-03	-1.21921e-03	-8.40638e-04	-2.95074e-04	-1.31799e-02	-8.59241e-04	 5.32903e-04	-6.68718e-04	-1.99648e-05	-1.79830e-03	 1.12485e-03	 1.62190e-03	 1.69923e-03	-5.10664e-02
PC7.GT	 0.05841620	-0.15248300	-0.37507800	 0.03446150	-0.28538200	 0.03948300	-0.05003670	 0.00733761	 0.04614700	 0.04074690	 0.07245800	 0.08293350	-0.45644900	 0.08245230	 0.07513290	-0.36094200	 0.12423200	 0.12286500	 0.05447220	 0.00563099	-0.45853700	 0.06468410	 0.04913990	 0.04033140	 0.09453620	 0.04859530	 0.03893800	 0.09904560	 0.09771240	 0.06748950	 0.05299790	 0.03913490	-0.10193300	 0.08478510	 0.04843530	 0.02306830	 0.13425800	 0.05368400
