gene	HGNC.symbol	Chimp.Mean.Expression	Human.Mean.Expression	Chimp.Overdispersion	Human.Overdispersion	Chimp.Mean.Adjusted.Dispersion	Human.Mean.Adjusted.Dispersion	Chimp.SE	Human.SE	P	q.value
ENSG00000186891	TNFRSF18	-20.0447462609216	-22.7250665476836	2.10553086128725	0.614754858219179	2.31217988762639	0.0805422279923379	0.37993650169601406	1.2023114640171602	0.0054	0.03179462061350062
ENSG00000186827	TNFRSF4	-18.7791665181172	-19.3320767837356	0.62031520238128	0.858243721373499	1.64057809963761	1.95294496943427	0.21572215357968988	0.30209142858110644	0.3439	0.31266796408553144
ENSG00000078808	SDF4	-17.2570135430693	-17.1236289888226	0.0583114649307704	0.0420739147468285	-0.538657549293802	-0.818355926800048	0.22159742088382822	0.2267717219171585	0.3624	0.32100026609204174
ENSG00000176022	B3GALT6	-18.5410818988641	-18.7193275372817	0.0921186409072936	0.0543682106210303	-0.200651429545032	-0.656593876718021	0.2894171324656893	0.2657152209238886	0.3434	0.3124612266475968
ENSG00000184163	C1QTNF12	-20.2299183421128	-20.9688358734574	0.943116894193199	0.370594987332849	1.40857032194252	0.310966322929934	0.31389830126033286	0.4147021866690071	0.0662	0.13292300282394426
ENSG00000160087	UBE2J2	-18.9637689040113	-18.9195565076525	0.0832273894400293	0.0533650266189177	-0.42562151044803	-0.71541684806183	0.2888279487731839	0.34111265284605136	0.4752	0.3657044071387483
ENSG00000162572	SCNN1D	-22.9283573829913	-19.8316605897293	0.912739046956653	0.324157324123315	-0.0456081964111595	0.780756758069417	0.21098320717596133	0.2074520102938198	0.001	0.010563838219425591
ENSG00000131584	ACAP3	-17.9857451708552	-17.8141512328484	0.324685598873159	0.141618905429724	1.14916354443476	0.386698729471311	0.17234491125719587	0.19327340753553438	0.0025	0.019426719437418246
ENSG00000169972	PUSL1	-19.1186179753331	-18.8965911255603	0.0840763479015302	0.163042465712704	-0.470133842254776	0.406349443194683	0.2322974684412925	0.25743137922242115	0.0394	0.10102763311906589
ENSG00000127054	INTS11	-17.3086237159364	-17.545077006992	0.100516908525443	0.084106793058494	0.00228747893531933	-0.137016638551854	0.22412248216331881	0.20771695055303785	0.6163	0.413052457363359
ENSG00000240731		-19.1941186697848	-18.2835653173482	0.575684273236082	0.368513142206879	1.42475423885372	1.31491274256882	0.19808020347006228	0.27166278130379545	0.668	0.42831760088312226
ENSG00000224051	CPTP	-16.5751020212256	-16.5468966477127	0.0908127392049119	0.108785648988385	-0.0741484418374885	0.131412229087506	0.23092554402449716	0.2619994442870658	0.5591	0.39511468348187784
ENSG00000169962	TAS1R3	-19.8285168367674	-20.7101250095867	0.300396246890028	0.29708444128899	0.48218189668281	0.230111075487709	0.2837081209888089	0.26120638985698247	0.5137	0.3786030483710879
ENSG00000107404	DVL1	-16.7544548102579	-16.8126648708552	0.080105696261783	0.0738767080052433	-0.200827612979891	-0.252785800102489	0.2500113974537308	0.22693283208090687	0.8682	0.4812057254523689
ENSG00000162576	MXRA8	-17.6954480749077	-17.7522124402308	0.534227552356019	0.422003816568023	1.66189462909092	1.47793077712848	0.30510895364397417	0.352762175542446	0.6964	0.43621310368350447
ENSG00000175756	AURKAIP1	-15.8182858107249	-16.1159788601004	0.065986361270798	0.093573159650524207	-0.418603579842026	-0.0326716338134463	0.22592363687977615	0.1485007630612148	0.1826	0.2268746007448041
ENSG00000221978	CCNL2	-17.7936299714607	-17.4627640327606	0.641770657327682	0.361725683579357	1.84343706245331	1.32289197270812	0.11760429090224901	0.2449403650709191	0.0285	0.08333170595412955
ENSG00000242485	MRPL20	-17.151773731461	-17.0718283290294	0.0357744249790475	0.0285844158141396	-1.02081306476049	-1.20403024035794	0.23680283901145072	0.18076054792908547	0.5461	0.39070620464719347
ENSG00000235098	ANKRD65	-21.9935418930512	-20.5096232690758	0.374234645172224	0.299707499442259	-0.500005812006599	0.352440706272726	0.18715635250893306	0.3838761841059486	0.0124	0.05234839020410752
ENSG00000179403	VWA1	-18.5088945861665	-18.651025690090002	0.369519103371046	0.307511077199728	1.19572956051964	1.08833788617801	0.20883786904654134	0.26681398670986645	0.7331	0.4465219428439605
ENSG00000197785	ATAD3A	-18.1875664613422	-17.9488956666899	0.179150567779409	0.0843750634115177	0.523992961456093	-0.132084584852611	0.19940794443275975	0.22248177238240405	0.0303	0.08649849648386701
ENSG00000205090	TMEM240	-19.995867742356	-19.878831687496	0.185809673030936	0.195908987492841	-0.0893439009020267	0.253550145604476	0.2315708188939389	0.2896474594939799	0.372	0.3245706456831685
ENSG00000272106		-19.1482695475202	-18.7772577976795	0.196209029760488	0.108163245571132	0.366114523847378	0.0202809237675763	0.3051115227766313	0.22202397720404568	0.2543	0.2688266331295694
ENSG00000197530	MIB2	-17.634117188722	-18.0569805694659	0.11826118675823	0.0981035880512012	0.154455726608836	0.0138669393469386	0.17403682266316164	0.20583250964714347	0.6369	0.41901833672925054
ENSG00000189339	SLC35E2B	-21.1928396835358	-19.6201604557057	0.443196651645562	0.355359218683827	0.0879875180409728	0.969384885618618	0.18240617144961657	0.1688262449502523	0.0025	0.019426719437418246
ENSG00000008130	NADK	-18.5481552122786	-18.5543834766952	0.236336437079029	0.161965439612903	0.739847873041292	0.462338270289642	0.200861137610155	0.2658835594782332	0.3813	0.3283935472769696
ENSG00000078369	GNB1	-17.062114235832	-17.1061424754063	0.035183293315726	0.0290360528845138	-1.03294182194782	-1.18892349644854	0.17779358769170955	0.1789259476705239	0.5328	0.3858162435668928
ENSG00000187730	GABRD	-23.4197440835936	-22.3501673057046	2.48517058045286	0.491481331365008	0.744311452529165	-0.0130442920604753	0.4268729923975167	0.2030380578798762	0.0379	0.09880232145718941
ENSG00000067606	PRKCZ	-21.1222727383142	-20.2440597678789	0.273191883313401	0.138025509545961	-0.356663957084324	-0.277679357926214	1.8622000665046852	0.20269389953854633	0.823	0.469206482112433
ENSG00000182873	PRKCZ-AS1	-20.2994766270393	-20.2957285937356	0.228809788232451	0.192379619740457	-0.0477342947384811	0.0271744112175805	0.2673738991768405	0.22483156007424904	0.8316	0.4715114188302072
ENSG00000162585	FAAP20	-19.6033562202112	-19.8013251079829	0.124317825697576	0.124668172126402	-0.28291133786503597	-0.159849947984391	0.35609125321996343	0.20907841596786889	0.7722	0.4560687661756551
ENSG00000157933	SKI	-18.9441385738923	-18.6043432013702	0.166257172370283	0.0663734384038399	0.272804658951942	-0.437148516166192	0.18858304156511704	0.24237482392607249	0.0063	0.034911740281490876
ENSG00000157916	RER1	-17.8491084455419	-17.7948111663967	0.0456234141632933	0.0370330292426032	-0.802521735210286	-0.954787663504784	0.21841150069476478	0.24617504181836164	0.6227	0.4154084564529664
ENSG00000157911	PEX10	-19.0178998977323	-18.7638036217645	0.0580143439121437	0.0574254116285673	-0.804854396885091	-0.610272064221713	0.2643039881968315	0.2315821591823727	0.5643	0.396629053696047
ENSG00000157873	TNFRSF14	-19.0153949947051	-18.5816608601402	0.614635522183029	0.321951009612018	1.55635123734669	1.145419774732	0.29320829039046603	0.25628848846556546	0.2248	0.2541447955703097
ENSG00000157870	PRXL2B	-19.2478744213879	-19.2490226501649	0.305554611840261	0.0992564319022001	0.769950085716977	-0.177412596543926	0.23843077590835968	0.21396021574840132	0.0125	0.05254476375952063
ENSG00000177133	PRDM16-DT	-18.9019054054361	-19.1144577685933	0.432275862784072	0.310924575370759	1.2419365987166	1.00252616472187	0.2456695100900391	0.21364743407058975	0.4694	0.3633834403623303
ENSG00000142611	PRDM16	-20.0258410229886	-19.5073392999302	0.214973655459357	0.228314135107632	0.0404002891573225	0.56811949623054	0.2530459390749207	0.17434622354828236	0.058	0.12433584896791505
ENSG00000162591	MEGF6	-20.6149705637222	-19.946892881524	0.352073470165139	0.375216955470132	0.193420957355304	0.869000564980305	0.28668855014043215	0.3272659698406866	0.1309	0.1908026666644233
ENSG00000158109	TPRG1L	-16.8453634733473	-17.0584664464095	0.0228926406109142	0.0430265646889318	-1.45514334140375	-0.794874490059898	0.19504197116407365	0.4396252908814313	0.1244	0.18585837495052138
ENSG00000116213	WRAP73	-19.1658039701713	-19.1094783343965	0.126659532902082	0.0693264532901988	-0.0782906662907066	-0.496952131420958	0.22396884821830873	0.3118890652164348	0.224	0.2537827256193604
ENSG00000227372	TP73-AS1	-20.0448987888874	-19.0833264129803	0.26005525633789	0.0630536342723334	0.220670544652624	-0.585476079634562	0.2348200286167316	0.22119373416577243	0.003	0.022041854746301475
ENSG00000235169	SMIM1	-20.9501339472851	-19.1281436317605	0.33258753855468	0.14296498004315	-0.0626768271679496	0.222084546967857	0.2954988887511942	0.3789040869393259	0.2979	0.2908699195176235
ENSG00000130764	LRRC47	-17.5049457265248	-17.5132196077631	0.0181721957287707	0.0169384352774024	-1.71727976598227	-1.7393034153782	0.31049058470456287	0.26599279752334387	0.956	0.5018294862139404
ENSG00000116198	CEP104	-18.9858060436936	-19.2902671963663	0.0286547188103836	0.0316123041147859	-1.49925518965894	-1.33464989329739	0.28304385740261645	0.2229300005741441	0.5779	0.4018048945163217
ENSG00000169598	DFFB	-20.6807310514071	-20.2531020126246	0.436338615422463	0.206261133630172	0.367983448283114	0.119319995899078	0.23423487152778816	0.1800218833640462	0.2745	0.2794726078369538
ENSG00000198912	C1orf174	-19.1532779296798	-18.5929566372302	0.107577810777828	0.101898396887836	-0.236765755717148	-0.00670640063532346	0.3109519779127438	0.1680773560408886	0.4175	0.3434005500841083
ENSG00000131697	NPHP4	-21.290703991526	-20.71404717012	0.145189988853313	0.172584066405694	-1.0816881080758	-0.315223869210989	0.306373020023017	0.17040354315092696	0.008	0.04051286409924041
ENSG00000069424	KCNAB2	-18.3813292895176	-18.597893562854	0.174176538547632	0.243479888880689	0.467315724706861	0.863593204709853	0.3049039237856377	0.19304659769208377	0.1891	0.2311092583166856
ENSG00000116251	RPL22	-16.5628084563628	-17.4415930250796	0.0688432316109007	0.0417471106375836	-0.351140541096212	-0.83575160108068	0.27851026965729836	0.24965799990091198	0.0242	0.07606253202763924
ENSG00000226944		-17.4063032862411	-20.0524840691321	0.210122165522637	0.503230293985535	0.733486517038418	1.11003308913251	0.23163324369683	0.3025580861219613	0.1218	0.1836898568699671
ENSG00000158286	RNF207	-17.9102368685053	-17.6067708215286	0.249873358708592	0.411618406010503	0.89430910025797	1.4511608921206	0.21089974380299809	0.1738194885491927	0.0312	0.08797221436752646
ENSG00000116237	ICMT	-17.697486160672	-17.351896339026	0.0454985109543483	0.096812424975279	-0.801269397787979	0.00877687897143309	0.24439963632931364	0.2648186211871637	0.0554	0.12148885552259939
