ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge
BP	GO:0051301	cell division	410	-0.37021015303002264	-1.8972920390748431	1.605497222489805e-5	0.002402995734682571	0.0021547330174541573	2005	tags=27%, list=19%, signal=23%
BP	GO:0048285	organelle fission	254	-0.3836870662533787	-1.8702965739176554	1.673388108904098e-5	0.002402995734682571	0.0021547330174541573	1595	tags=26%, list=15%, signal=22%
CC	GO:0005819	spindle	238	-0.36518304939849167	-1.7663397993388417	1.684125433662299e-5	0.002402995734682571	0.0021547330174541573	2176	tags=30%, list=20%, signal=24%
BP	GO:0000280	nuclear division	223	-0.41900010956351436	-2.010856359959193	1.6913605304106624e-5	0.002402995734682571	0.0021547330174541573	1595	tags=27%, list=15%, signal=24%
BP	GO:0007059	chromosome segregation	178	-0.48455569837939894	-2.2606172851322954	1.714971702966901e-5	0.002402995734682571	0.0021547330174541573	1518	tags=31%, list=14%, signal=27%
BP	GO:0140014	mitotic nuclear division	172	-0.4523326486158185	-2.1000081795825993	1.7198679141441937e-5	0.002402995734682571	0.0021547330174541573	1511	tags=27%, list=14%, signal=24%
BP	GO:0098813	nuclear chromosome segregation	139	-0.4938150363500197	-2.2267462525883372	1.74377038031632e-5	0.002402995734682571	0.0021547330174541573	1518	tags=32%, list=14%, signal=28%
CC	GO:0000775	chromosome, centromeric region	126	-0.42320263982682443	-1.879846019580984	1.75561797752809e-5	0.002402995734682571	0.0021547330174541573	1285	tags=33%, list=12%, signal=30%
CC	GO:0000793	condensed chromosome	126	-0.46494807094603147	-2.0652772412700684	1.75561797752809e-5	0.002402995734682571	0.0021547330174541573	1972	tags=34%, list=18%, signal=28%
BP	GO:0000819	sister chromatid segregation	111	-0.5165936961261359	-2.250455754324254	1.765349715778696e-5	0.002402995734682571	0.0021547330174541573	1511	tags=32%, list=14%, signal=28%
BP	GO:0007088	regulation of mitotic nuclear division	108	-0.44827194091500133	-1.944143739210786	1.7706949977866312e-5	0.002402995734682571	0.0021547330174541573	1438	tags=25%, list=13%, signal=22%
BP	GO:0007051	spindle organization	99	-0.4654269381991886	-1.9906226292255393	1.7758204290382156e-5	0.002402995734682571	0.0021547330174541573	1819	tags=36%, list=17%, signal=30%
BP	GO:0000070	mitotic sister chromatid segregation	97	-0.5141516084712965	-2.191338256844026	1.7760412041559363e-5	0.002402995734682571	0.0021547330174541573	1511	tags=32%, list=14%, signal=28%
CC	GO:0000776	kinetochore	92	-0.4622736111172001	-1.9517411683546333	1.7832941008631143e-5	0.002402995734682571	0.0021547330174541573	2121	tags=35%, list=20%, signal=28%
BP	GO:1902850	microtubule cytoskeleton organization involved in mitosis	75	-0.5439841010470461	-2.217267563722332	1.79700977573318e-5	0.002402995734682571	0.0021547330174541573	1475	tags=37%, list=14%, signal=32%
CC	GO:0000779	condensed chromosome, centromeric region	73	-0.5048330559655616	-2.046917214893422	1.799888406918771e-5	0.002402995734682571	0.0021547330174541573	1759	tags=36%, list=16%, signal=30%
BP	GO:0070972	protein localization to endoplasmic reticulum	70	-0.48713546084948334	-1.9582417717331855	1.807991321641656e-5	0.002402995734682571	0.0021547330174541573	2928	tags=54%, list=27%, signal=40%
CC	GO:0000777	condensed chromosome kinetochore	68	-0.5347909296912725	-2.1386544515472257	1.8086453246518357e-5	0.002402995734682571	0.0021547330174541573	1759	tags=38%, list=16%, signal=32%
BP	GO:0051983	regulation of chromosome segregation	63	-0.6153296700304907	-2.4245880599453296	1.816035594297648e-5	0.002402995734682571	0.0021547330174541573	1379	tags=40%, list=13%, signal=35%
BP	GO:0007052	mitotic spindle organization	60	-0.5558332975302673	-2.1705162117900714	1.8188432157148055e-5	0.002402995734682571	0.0021547330174541573	1925	tags=45%, list=18%, signal=37%
