Sample	Alternate.ID	Coverage	number.of.genotypes.which.pass.the.filter	number.of.non.reference.genotypes	number.of.homozygous.ref.genotypes	number.of.homozygous.alt.genotypes	number.of.heterozygous.genotypes	number.of.SNVs	number.of.indels	number.of.singletons	number.of.missing.genotypes
317	Iyk	44.5147	22373105	3756070	18617035	1420191	2335879	2974252	722764	28905	19448
338	Maxine	44.127	22371860	3777940	18593920	1376995	2400945	2995054	723928	60449	20693
389	Rogger	48.5184	22376133	3798321	18577812	1473400	2324921	3001962	735445	20038	16420
438	Cheeta	45.6959	22371553	3805161	18566392	1396489	2408672	3018768	727127	64409	21000
456	Mai	41.7694	22370480	3793817	18576663	1404298	2389519	3010052	724455	64921	22073
462	Barbara	44.9676	22369038	8406188	13962850	2418554	5987634	7254711	1063476	917052	23515
476	Lulu	40.9612	22369630	3788949	18580681	1385653	2403296	3003533	726824	61767	22923
495	Amos	42.1303	22372824	7538094	14834730	1626228	5911866	6442760	1013814	206992	19729
4X0095	4X0095	65.8051	22378188	3801523	18576665	1476938	2324585	3006794	733550	52565	14365
4X0212	4X0212	50.128	22374139	3860663	18513476	1394850	2465813	3060040	739810	56088	18414
4X0267	4X0267	54.8835	22376342	3835033	18541309	1393037	2441996	3036572	737883	49140	16211
4X0333	4X0333	60.8324	22376965	3874426	18502539	1400839	2473587	3065308	747472	30576	15588
4X0339	4X0339	68.2296	22379276	3705844	18673432	1568840	2137004	2921563	723206	31780	13277
4X0354	4X0354	70.6531	22373317	9032461	13340856	3667265	5365196	7844049	1093215	2145041	19236
4X0357	4X0357	79.4483	22380190	3865184	18515006	1394959	2470225	3056469	747238	41600	12363
4X0550	4X0550	69.393	22379812	3801682	18578130	1432428	2369254	3008346	732586	55775	12741
4x0025	4x0025	45.1256	22371550	3803292	18568258	1396686	2406606	3016770	727179	63449	21003
4x0043	4x0043	43.9818	22371055	3787403	18583652	1439669	2347734	3002025	726062	64596	21498
4x0430	4x0430	41.6602	22370415	5917406	16453009	1425055	4492351	4954613	891472	341679	22138
4x0519	4x0519	46.5019	22374508	5103494	17271014	1522237	3581257	4213824	822803	373854	18045
4x373	Ursula	42.449	22370857	3850954	18519903	1391658	2459296	3049789	741312	32895	21696
4x523	4x523	43.1406	22372413	5460747	16911666	1518710	3942037	4538689	853344	508885	20140
503	Carmichael	43.6868	22373725	3806013	18567712	1423999	2382014	3006033	739017	5959	18828
522	Peony	44.8568	22371608	3842200	18529408	1437599	2404601	3052176	730439	57740	20945
529	Justin	64.1689	22378753	4829859	17548894	1522485	3307374	3948300	814169	155561	13800
537	Socrates	38.1858	22371946	3526918	18845028	1149913	2377005	2786124	684977	54601	20607
549	Jarred	47.2298	22374116	3798514	18575602	1447076	2351438	3012775	726267	54329	18437
554	Unnamed_female	59.0599	22376386	5458498	16917888	1584490	3874008	4529224	858649	328115	16167
554_2	Anja	73.4685	22379648	3878926	18500722	1410452	2468474	3074012	743604	53659	12905
558	Cynthia	43.4911	22371649	3822840	18548809	1393621	2429219	3031136	732229	27448	20904
570	Waga	39.2701	22369398	4275514	18093884	1399963	2875551	3441262	772127	59904	23155
623	Joelson	42.7849	22373277	3674707	18698570	1298568	2376139	2902704	713624	4758	19276
676	Callie	55.0115	22376570	4035486	18341084	1409457	2626029	3210635	762364	487	15983
724	Kerri	49.3547	22375130	6105136	16269994	1463577	4641559	5111759	918374	1269	17423
88A020	88A020	42.4987	22370515	3844447	18526068	1401496	2442951	3051426	733681	64349	22038
95A014	95A014	45.0392	22373354	3791966	18581388	1436888	2355078	3008498	724210	64657	19199
Little_R	Little_Rock_chimp	41.0108	22370266	3797497	18572769	1456711	2340786	3011933	726358	76844	22287
MD_And	MD_And	34.8119	22367935	3730049	18637886	1439502	2290547	2954769	716415	54551	24618
