P	gene
0.0054	ENSG00000186891
0.3439	ENSG00000186827
0.3624	ENSG00000078808
0.3434	ENSG00000176022
0.0662	ENSG00000184163
0.4752	ENSG00000160087
0.001	ENSG00000162572
0.0025	ENSG00000131584
0.0394	ENSG00000169972
0.6163	ENSG00000127054
0.668	ENSG00000240731
0.5591	ENSG00000224051
0.5137	ENSG00000169962
0.8682	ENSG00000107404
0.6964	ENSG00000162576
0.1826	ENSG00000175756
0.0285	ENSG00000221978
0.5461	ENSG00000242485
0.0124	ENSG00000235098
0.7331	ENSG00000179403
0.0303	ENSG00000197785
0.372	ENSG00000205090
0.2543	ENSG00000272106
0.6369	ENSG00000197530
0.0025	ENSG00000189339
0.3813	ENSG00000008130
0.5328	ENSG00000078369
0.0379	ENSG00000187730
0.823	ENSG00000067606
0.8316	ENSG00000182873
0.7722	ENSG00000162585
0.0063	ENSG00000157933
0.6227	ENSG00000157916
0.5643	ENSG00000157911
0.2248	ENSG00000157873
0.0125	ENSG00000157870
0.4694	ENSG00000177133
0.058	ENSG00000142611
0.1309	ENSG00000162591
0.1244	ENSG00000158109
0.224	ENSG00000116213
0.003	ENSG00000227372
0.2979	ENSG00000235169
0.956	ENSG00000130764
0.5779	ENSG00000116198
0.2745	ENSG00000169598
0.4175	ENSG00000198912
0.008	ENSG00000131697
0.1891	ENSG00000069424
0.0242	ENSG00000116251
0.1218	ENSG00000226944
0.0312	ENSG00000158286
0.0554	ENSG00000116237
0.429	ENSG00000158292
0.1997	ENSG00000097021
0.0949	ENSG00000215788
0.0049	ENSG00000171680
0.0282	ENSG00000162408
0.1193	ENSG00000204859
0.786	ENSG00000162413
0.662	ENSG00000116273
0.1052	ENSG00000041988
0.0761	ENSG00000007923
0.0207	ENSG00000171735
0.0445	ENSG00000049245
0.3633	ENSG00000049246
0.4947	ENSG00000116288
0.0542	ENSG00000116285
0.0082	ENSG00000142599
0.0274	ENSG00000074800
0.7749	ENSG00000142583
0.324	ENSG00000180758
0.4964	ENSG00000228526
0.2312	ENSG00000049239
0.0132	ENSG00000171621
0.0168	ENSG00000171612
0.4645	ENSG00000188807
0.6322	ENSG00000171608
0.0383	ENSG00000171603
0.3494	ENSG00000178585
0.091	ENSG00000162441
0.6337	ENSG00000173614
0.211	ENSG00000162444
0.0113	ENSG00000130939
0.685	ENSG00000054523
0.1144	ENSG00000142657
0.1991	ENSG00000160049
0.8062	ENSG00000142655
0.0677	ENSG00000130940
0.7812	ENSG00000272078
0.2452	ENSG00000171824
0.0045	ENSG00000198793
0.2075	ENSG00000171819
0.3533	ENSG00000120942
0.5976	ENSG00000204624
0.041	ENSG00000116661
0.9769	ENSG00000132879
0.04	ENSG00000116663
0.0001	ENSG00000116670
0.2284	ENSG00000177674
0.0689	ENSG00000177000
0.0211	ENSG00000011021
0.0002	ENSG00000242349
0.0302	ENSG00000175206
0.1416	ENSG00000120937
0.0352	ENSG00000083444
0.4096	ENSG00000116688
0.3229	ENSG00000116691
0.3	ENSG00000028137
0.0001	ENSG00000048707
0.2147	ENSG00000162496
0.1725	ENSG00000162494
0.6409	ENSG00000162493
0.5409	ENSG00000116731
0.107	ENSG00000189337
0.0244	ENSG00000171729
0.4434	ENSG00000142634
0.0007	ENSG00000132906
0.3091	ENSG00000116138
0.0125	ENSG00000197312
0.2503	ENSG00000116786
0.2238	ENSG00000162461
0.5416	ENSG00000162458
0.0004	ENSG00000233954
0.9308	ENSG00000179743
0.2316	ENSG00000065526
0.7742	ENSG00000116809
0.1372	ENSG00000183888
0.0825	ENSG00000173641
0.0315	ENSG00000184908
0.0246	ENSG00000142627
0.4007	ENSG00000142632
0.3373	ENSG00000132881
0.7901	ENSG00000037637
0.4245	ENSG00000055070
0.5483	ENSG00000157191
0.0619	ENSG00000080947
NA	ENSG00000215908
0.2345	ENSG00000058453
0.0645	ENSG00000117122
0.4945	ENSG00000159363
0.0505	ENSG00000117118
0.2359	ENSG00000117115
0.6556	ENSG00000159339
0.4921	ENSG00000074964
0.2787	ENSG00000159423
0.2513	ENSG00000169991
0.0001	ENSG00000127481
0.4539	ENSG00000127463
0.9782	ENSG00000053372
0.4336	ENSG00000162482
0.4789	ENSG00000053371
0.091	ENSG00000040487
0.647	ENSG00000077549
0.4656	ENSG00000173436
0.2746	ENSG00000158747
0.796	ENSG00000162542
0.0304	ENSG00000169914
0.218	ENSG00000188257
0.5615	ENSG00000127472
0.7762	ENSG00000162543
0.0354	ENSG00000162545
0.0548	ENSG00000090432
0.7075	ENSG00000183114
0.3099	ENSG00000158825
0.0083	ENSG00000158828
0.3041	ENSG00000117242
0.989	ENSG00000244038
0.1124	ENSG00000117245
0.6793	ENSG00000189410
0.0106	ENSG00000127483
0.4172	ENSG00000075151
0.9769	ENSG00000117298
0.0017	ENSG00000142794
0.4808	ENSG00000162551
0.0089	ENSG00000076864
0.1486	ENSG00000090686
0.1865	ENSG00000187942
0.412	ENSG00000142798
0.0709	ENSG00000218510
0.014	ENSG00000070831
0.4459	ENSG00000184677
0.7004	ENSG00000173372
0.4006	ENSG00000159189
0.093	ENSG00000173369
0.0991	ENSG00000133216
0.1983	ENSG00000004487
0.0004	ENSG00000169641
0.1066	ENSG00000125944
0.4673	ENSG00000125945
0.0002	ENSG00000249087
0.5078	ENSG00000204219
0.3732	ENSG00000088280
0.026	ENSG00000117318
0.0175	ENSG00000142676
0.5465	ENSG00000011007
0.2035	ENSG00000057757
0.4834	ENSG00000011009
0.7995	ENSG00000117308
0.9906	ENSG00000117305
0.9202	ENSG00000179163
0.2712	ENSG00000188529
0.7832	ENSG00000142661
0.5698	ENSG00000185436
0.0007	ENSG00000001460
0.4278	ENSG00000001461
0.6447	ENSG00000117602
0.7919	ENSG00000184454
0.0001	ENSG00000133226
0.9416	ENSG00000169504
0.0423	ENSG00000020633
0.0221	ENSG00000117614
0.3232	ENSG00000117616
0.011	ENSG00000272432
0.272	ENSG00000204178
0.0463	ENSG00000157978
0.1017	ENSG00000117643
0.9384	ENSG00000162430
0.7986	ENSG00000117640
0.572	ENSG00000182749
0.8465	ENSG00000117632
0.4618	ENSG00000158006
0.2073	ENSG00000158008
0.1501	ENSG00000158014
0.0394	ENSG00000158022
0.5702	ENSG00000175087
0.0824	ENSG00000142675
0.5931	ENSG00000236155
0.5375	ENSG00000130695
0.7029	ENSG00000142669
0.2626	ENSG00000158062
0.2299	ENSG00000169442
0.6308	ENSG00000176083
0.6968	ENSG00000117682
0.0806	ENSG00000198830
0.0481	ENSG00000117676
0.0085	ENSG00000117713
0.1277	ENSG00000060642
0.0332	ENSG00000204160
0.7963	ENSG00000142751
0.3623	ENSG00000198746
0.4845	ENSG00000090273
0.8822	ENSG00000131910
0.5134	ENSG00000253368
0.0882	ENSG00000158246
0.5365	ENSG00000090020
0.7509	ENSG00000214973
0.0106	ENSG00000142784
0.0141	ENSG00000186501
0.0237	ENSG00000142765
0.0025	ENSG00000142733
0.0063	ENSG00000142748
0.1861	ENSG00000181773
0.5394	ENSG00000009780
0.0955	ENSG00000117758
0.252	ENSG00000117751
0.9166	ENSG00000130775
0.0099	ENSG00000117748
0.67	ENSG00000158156
0.2412	ENSG00000158161
0.9754	ENSG00000169403
0.0011	ENSG00000126698
0.5439	ENSG00000130770
0.0089	ENSG00000270605
0.1028	ENSG00000130766
0.5385	ENSG00000130772
0.0243	ENSG00000204138
0.0214	ENSG00000180198
0.0637	ENSG00000242125
0.0803	ENSG00000180098
0.1425	ENSG00000197989
0.0624	ENSG00000120656
0.3347	ENSG00000198492
0.4404	ENSG00000159023
0.1228	ENSG00000253304
0.9296	ENSG00000116350
0.0004	ENSG00000116353
0.4908	ENSG00000060656
0.9419	ENSG00000162511
0.8424	ENSG00000162512
0.018	ENSG00000134644
0.221	ENSG00000060688
0.0941	ENSG00000121766
0.0006	ENSG00000121769
0.1499	ENSG00000168528
0.401	ENSG00000142910
0.0289	ENSG00000162517
0.2793	ENSG00000084636
0.8408	ENSG00000121753
0.0367	ENSG00000184007
0.3663	ENSG00000121774
0.7575	ENSG00000121775
0.6274	ENSG00000025800
0.8157	ENSG00000084652
0.6986	ENSG00000160050
0.0672	ENSG00000160051
0.1134	ENSG00000160055
0.018	ENSG00000084623
0.0455	ENSG00000220785
0.1198	ENSG00000183615
0.0644	ENSG00000182866
0.8529	ENSG00000116478
0.4193	ENSG00000175130
0.1431	ENSG00000160058
0.3524	ENSG00000160062
0.3407	ENSG00000176261
0.7905	ENSG00000162521
0.3597	ENSG00000162520
0.5577	ENSG00000162522
0.6119	ENSG00000134684
0.6401	ENSG00000116497
0.823	ENSG00000160097
0.7198	ENSG00000121900
0.0626	ENSG00000116514
0.8305	ENSG00000004455
0.5502	ENSG00000142920
0.3685	ENSG00000160094
0.0224	ENSG00000225313
0.0325	ENSG00000134686
0.5131	ENSG00000121903
0.0924	ENSG00000163866
0.8876	ENSG00000187513
0.0191	ENSG00000241014
0.3628	ENSG00000243749
0.1358	ENSG00000163867
0.2979	ENSG00000197056
0.3638	ENSG00000116560
0.9156	ENSG00000146463
0.8784	ENSG00000142687
0.3575	ENSG00000020129
0.9358	ENSG00000126067
0.0519	ENSG00000142686
0.9823	ENSG00000134698
0.009	ENSG00000092847
0.1157	ENSG00000126070
0.0005	ENSG00000116863
0.9721	ENSG00000171812
0.0021	ENSG00000054116
0.1423	ENSG00000116871
0.6341	ENSG00000054118
0.7699	ENSG00000142694
0.3789	ENSG00000116883
0.9635	ENSG00000196182
0.0908	ENSG00000181817
0.4729	ENSG00000116885
0.0002	ENSG00000116898
0.2331	ENSG00000119535
0.2666	ENSG00000163873
0.6672	ENSG00000233621
0.0335	ENSG00000163874
0.0121	ENSG00000163875
0.1651	ENSG00000163877
