Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
295	85.77	155290675.0
317	82.74	68092789.0
338	83.7	80065396.0
389	86.35	99251068.0
438	82.43	77548087.0
456	84.28	88729841.0
462	80.28	80249477.0
476	83.23	167150504.0
495	76.04	64625571.0
4X0095	82.68	76172109.0
4X0212	81.37	86680831.0
4X0267	86.79	90912175.0
4X0333	85.45	84475697.0
4X0339	77.42	89072041.0
4X0354	73.15	62234821.0
4X0357	84.3	76891145.0
4X0550	86.49	92172584.0
4x0025	85.6	61517779.0
4x0043	83.65	61060490.0
4x0430	85.9	72465732.0
4x0519	88.65	86726954.0
4x373	84.07	38982068.0
4x523	85.9	91051740.0
503	82.66	112158514.0
522	87.68	86278045.0
529	83.52	76604870.0
537	74.0	90406549.0
549	82.48	97939323.0
554	85.63	80723780.0
554_2	83.09	82572363.0
558	74.93	66754185.0
570	84.53	58213102.0
59167	84.32	34541716.0
59263	91.57	47597109.0
59365	88.65	48184869.0
59511	89.39	38116613.0
61317	86.83	32431671.0
623	86.14	70677147.0
62606	91.38	32293506.0
62765	90.45	41301068.0
62850	90.89	42699925.0
62905	88.64	37589825.0
63060	90.39	29860537.0
63145	89.46	41950667.0
676	84.35	89729069.0
724	83.37	87489729.0
88A020	85.71	83395882.0
95A014	83.47	63311079.0
Little_R	70.08	61470290.0
MD_And	84.43	71122205.0
SRR598148	71.71	38501452.0
SRR598509	68.43	30384970.0
SRR598589	84.35	72807887.0
SRR599025	59.06	53729264.0
SRR599086	73.16	56096855.0
SRR599249	73.21	61850833.0
SRR599380	83.61	77057833.0
SRR600474	82.1	40349303.0
SRR600829	33.62	38678916.0
SRR600852	85.75	41991778.0
SRR600924	19.77	26739954.0
SRR601239	86.14	41899261.0
SRR601613	72.33	56668033.0
SRR601645	83.34	51168783.0
SRR601868	70.29	52905789.0
SRR601986	78.63	41362793.0
SRR602106	81.72	53175784.0
SRR602437	58.47	32531016.0
SRR602461	31.98	36246381.0
SRR603449	84.23	52070167.0
SRR603918	83.7	41385038.0
SRR603968	55.15	52377157.0
SRR604122	80.83	39450541.0
SRR604174	82.82	78525367.0
SRR604206	58.08	28529598.0
SRR604230	81.16	63618798.0
SRR606939	84.87	80587655.0
SRR607252	78.46	36564822.0
SRR607313	85.98	52611016.0
SRR607970	21.05	37273184.0
SRR608096	78.03	45636052.0
SRR608480	13.94	23949665.0
SRR612335	79.5	44059888.0
SRR612719	11.7	4822708.0
SRR612875	68.05	33412297.0
SRR613186	79.88	34838229.0
SRR614683	80.06	34558231.0
SRR614996	61.23	30051515.0
SRR615970	52.42	33467127.0
