Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
295	85.77	26555028.0	217552.0	1.36	1.59	1.45	74.79	0.01	0.27	75.0	16670.0	25702827.0	26276308.0	155290675.0	48149.0	0	0.0	181048443.0	36322	0.01	0.02	12.73	23039975.0	44498.0	2633322	0.03
317	82.74	12639750.0	97977.0	1.4	1.54	2.19	74.76	0.01	0.42	75.0	7897.0	12226971.0	12516829.0	68092789.0	26261.0	0	0.0	82295565.0	16459	0.01	0.02	15.02	12357795.0	17047.0	1802261	0.03
338	83.7	13933747.0	121061.0	1.28	1.6	1.93	74.76	0.01	0.4	75.0	8916.0	13427283.0	13783664.0	80065396.0	33330.0	0	0.0	95653867.0	19087	0.01	0.02	14.32	13694195.0	20106.0	1841859	0.03
389	86.35	16916943.0	145189.0	1.29	1.53	1.72	74.71	0.01	0.27	75.0	9663.0	16401901.0	16733460.0	99251068.0	37645.0	0	0.0	114935029.0	22921	0.01	0.02	11.88	13652215.0	28631.0	1971180	0.03
438	82.43	12604888.0	99409.0	1.26	1.51	1.18	74.79	0.01	0.38	75.0	7739.0	12223240.0	12478675.0	77548087.0	27375.0	0	0.0	94076207.0	18719	0.01	0.02	16.35	15377587.0	19065.0	1104439	0.03
456	84.28	16025471.0	131527.0	1.29	1.49	1.2	74.81	0.01	0.31	75.0	9322.0	15550816.0	15863294.0	88729841.0	28027.0	0	0.0	105273875.0	21034	0.01	0.02	14.47	15232911.0	21328.0	1262062	0.03
462	80.28	14075740.0	124726.0	1.39	1.74	3.15	74.81	0.01	0.73	75.0	8295.0	13658382.0	13923382.0	80249477.0	26050.0	0	0.0	99961092.0	20026	0.01	0.02	16.52	16511460.0	19337.0	3154079	0.03
476	83.23	28614720.0	236091.0	1.32	1.54	2.16	74.73	0.01	0.35	75.0	17366.0	27741604.0	28316845.0	167150504.0	66560.0	0	0.0	200827555.0	40256	0.01	0.02	14.55	29222603.0	44418.0	4347632	0.03
495	76.04	5939024.0	44157.0	1.38	1.64	1.49	74.7	0.01	1.0	75.0	4113.0	5688349.0	5869427.0	64625571.0	23806.0	0	0.0	84989351.0	17001	0.01	0.02	22.42	19056433.0	21327.0	1266540	0.03
4X0095	82.68	12695954.0	108098.0	1.31	1.54	2.56	74.69	0.01	0.39	75.0	7892.0	12281966.0	12553751.0	76172109.0	34571.0	0	0.0	92127078.0	27629	0.01	0.03	14.69	13535109.0	26213.0	2357660	0.04
