gene	Pn	Ps
ENSPTRG00000000009	2	0
ENSPTRG00000000017	2	0
ENSPTRG00000000028	1	1
ENSPTRG00000000029	0	1
ENSPTRG00000000033	1	0
ENSPTRG00000000035	0	2
ENSPTRG00000000037	0	1
ENSPTRG00000000038	2	1
ENSPTRG00000000040	0	1
ENSPTRG00000000048	0	1
ENSPTRG00000000049	0	2
ENSPTRG00000000051	0	1
ENSPTRG00000000052	0	1
ENSPTRG00000000053	0	1
ENSPTRG00000000055	1	1
ENSPTRG00000000057	2	2
ENSPTRG00000000059	1	0
ENSPTRG00000000060	0	1
ENSPTRG00000000062	1	1
ENSPTRG00000000063	0	1
ENSPTRG00000000064	1	1
ENSPTRG00000000067	4	0
ENSPTRG00000000068	1	2
ENSPTRG00000000069	5	5
ENSPTRG00000000070	1	0
ENSPTRG00000000072	0	1
ENSPTRG00000000075	2	2
ENSPTRG00000000076	1	0
ENSPTRG00000000078	1	2
ENSPTRG00000000082	3	1
ENSPTRG00000000084	1	3
ENSPTRG00000000088	0	2
ENSPTRG00000000089	2	2
ENSPTRG00000000090	1	2
ENSPTRG00000000091	0	3
ENSPTRG00000000093	1	0
ENSPTRG00000000094	0	2
ENSPTRG00000000096	1	5
ENSPTRG00000000099	4	2
ENSPTRG00000000100	1	1
ENSPTRG00000000102	1	0
ENSPTRG00000000103	2	1
ENSPTRG00000000104	0	3
ENSPTRG00000000106	0	3
ENSPTRG00000000111	2	3
ENSPTRG00000000112	0	2
ENSPTRG00000000113	1	1
ENSPTRG00000000120	0	1
ENSPTRG00000000121	0	3
ENSPTRG00000000126	2	4
ENSPTRG00000000127	0	5
ENSPTRG00000000130	0	1
ENSPTRG00000000131	1	0
ENSPTRG00000000132	0	1
ENSPTRG00000000133	1	1
ENSPTRG00000000134	2	2
ENSPTRG00000000136	1	1
ENSPTRG00000000137	2	0
ENSPTRG00000000138	0	1
ENSPTRG00000000140	0	2
ENSPTRG00000000142	2	2
ENSPTRG00000000143	1	0
ENSPTRG00000000144	0	1
ENSPTRG00000000145	0	3
ENSPTRG00000000148	1	0
ENSPTRG00000000149	0	2
ENSPTRG00000000150	0	1
ENSPTRG00000000152	3	2
ENSPTRG00000000153	2	0
ENSPTRG00000000154	4	3
ENSPTRG00000000155	0	1
ENSPTRG00000000157	0	1
ENSPTRG00000000158	0	1
ENSPTRG00000000160	0	1
ENSPTRG00000000164	1	0
ENSPTRG00000000165	5	15
ENSPTRG00000000168	1	2
ENSPTRG00000000182	1	2
ENSPTRG00000000184	0	1
ENSPTRG00000000185	2	5
ENSPTRG00000000186	1	0
ENSPTRG00000000193	0	1
ENSPTRG00000000194	4	4
ENSPTRG00000000197	1	1
ENSPTRG00000000200	1	1
ENSPTRG00000000201	2	4
ENSPTRG00000000202	1	2
ENSPTRG00000000205	2	3
ENSPTRG00000000206	1	0
ENSPTRG00000000208	2	2
ENSPTRG00000000210	5	5
ENSPTRG00000000214	1	0
ENSPTRG00000000217	1	1
ENSPTRG00000000221	1	1
ENSPTRG00000000223	1	0
ENSPTRG00000000225	1	0
ENSPTRG00000000227	0	1
ENSPTRG00000000228	1	2
ENSPTRG00000000232	2	1
ENSPTRG00000000238	7	1
ENSPTRG00000000241	0	3
ENSPTRG00000000242	0	1
ENSPTRG00000000243	0	2
ENSPTRG00000000244	2	0
ENSPTRG00000000246	2	3
ENSPTRG00000000247	1	0
ENSPTRG00000000248	1	2
ENSPTRG00000000249	0	2
ENSPTRG00000000250	2	1
ENSPTRG00000000254	1	2
ENSPTRG00000000255	1	0
ENSPTRG00000000256	0	2
ENSPTRG00000000257	1	12
ENSPTRG00000000264	1	0
ENSPTRG00000000265	2	0
ENSPTRG00000000266	1	1
ENSPTRG00000000268	0	1
ENSPTRG00000000269	0	1
ENSPTRG00000000272	3	3
ENSPTRG00000000274	0	1
ENSPTRG00000000275	2	0
ENSPTRG00000000276	0	2
ENSPTRG00000000277	0	1
ENSPTRG00000000278	1	1
ENSPTRG00000000286	1	4
ENSPTRG00000000290	0	1
ENSPTRG00000000291	1	1
ENSPTRG00000000294	0	1
ENSPTRG00000000295	1	0
ENSPTRG00000000296	0	1
ENSPTRG00000000297	4	4
ENSPTRG00000000298	0	2
ENSPTRG00000000300	1	1
ENSPTRG00000000303	1	0
ENSPTRG00000000304	0	3
ENSPTRG00000000307	2	6
ENSPTRG00000000315	2	9
ENSPTRG00000000316	0	2
ENSPTRG00000000320	0	3
ENSPTRG00000000321	0	1
ENSPTRG00000000322	0	1
ENSPTRG00000000323	0	1
ENSPTRG00000000324	1	0
ENSPTRG00000000331	0	1
ENSPTRG00000000332	2	0
ENSPTRG00000000340	1	0
ENSPTRG00000000341	5	1
ENSPTRG00000000342	1	2
ENSPTRG00000000343	1	2
ENSPTRG00000000344	2	2
ENSPTRG00000000346	2	1
ENSPTRG00000000349	2	0
ENSPTRG00000000350	0	1
ENSPTRG00000000351	0	1
ENSPTRG00000000352	0	2
