gene	Chimpanzee.gene.stable.ID	HGNC.symbol	Chimp.Mean.Adjusted.Dispersion	Human.Mean.Adjusted.Dispersion	P	q.value	DiffDisp	DifferentialDispersion	Pn.chimp	Ps.chimp	Pn.human	Ps.human	PnPs.chimp	PnPs.human
ENSG00000186891	ENSPTRG00000000009	TNFRSF18	2.31217988762639	0.0805422279923379	0.0031	0.023605701245704783	2.2316376596340524	More dispersed in chimp	2	0	0	1	5	0.3333333333333333
ENSG00000078808	ENSPTRG00000050180	SDF4	-0.538657549293802	-0.818355926800048	0.3976	0.35612523851759464	0.27969837750624593	Not signficant	1	0	0	2	3	0.2
ENSG00000162572	ENSPTRG00000000017	SCNN1D	-0.0456081964111595	0.780756758069417	7e-4	0.008874612033065424	-0.8263649544805766	More dispersed in human	2	0	0	1	5	0.3333333333333333
ENSG00000127054	ENSPTRG00000051102	INTS11	0.00228747893531933	-0.137016638551854	0.5979	0.43371286493525013	0.13930411748717333	Not signficant	0	1	1	3	0.3333333333333333	0.42857142857142855
ENSG00000235098	ENSPTRG00000051520	ANKRD65	-0.500005812006599	0.352440706272726	0.0089	0.046159508042113016	-0.852446518279325	More dispersed in human	1	0	1	1	3	1
ENSG00000197530	ENSPTRG00000047681	MIB2	0.154455726608836	0.0138669393469386	0.6414	0.4474443838381873	0.14058878726189739	Not signficant	1	0	1	1	3	1
ENSG00000008130	ENSPTRG00000000038	NADK	0.739847873041292	0.462338270289642	0.5212	0.406363472251146	0.27750960275165	Not signficant	2	1	1	1	1.6666666666666667	1
ENSG00000187730	ENSPTRG00000023374	GABRD	0.744311452529165	-0.0130442920604753	0.0336	0.09767725855501307	0.7573557445896403	More dispersed in chimp	0	1	0	3	0.3333333333333333	0.14285714285714285
ENSG00000157873	ENSPTRG00000000053	TNFRSF14	1.55635123734669	1.145419774732	0.1984	0.25179414662085103	0.4109314626146898	Not signficant	0	1	2	0	0.3333333333333333	5
ENSG00000142611	ENSPTRG00000000059	PRDM16	0.0404002891573225	0.56811949623054	0.0597	0.13364853240931387	-0.5277192070732175	Not signficant	1	0	2	1	3	1.6666666666666667
ENSG00000162591	ENSPTRG00000045016	MEGF6	0.193420957355304	0.869000564980305	0.1347	0.2059141417900815	-0.6755796076250009	Not signficant	2	0	8	2	5	3.4
ENSG00000116213	ENSPTRG00000000064	WRAP73	-0.0782906662907066	-0.496952131420958	0.2861	0.3031422074314257	0.4186614651302514	Not signficant	1	1	0	1	1	0.3333333333333333
ENSG00000130764	ENSPTRG00000000068	LRRC47	-1.71727976598227	-1.7393034153782	0.9578	0.534615210735366	0.022023649395930045	Not signficant	1	2	0	1	0.6	0.3333333333333333
ENSG00000116198	ENSPTRG00000000069	CEP104	-1.49925518965894	-1.33464989329739	0.5799	0.42822749813694755	-0.16460529636154986	Not signficant	5	5	1	1	1	1
ENSG00000169598	ENSPTRG00000000070	DFFB	0.367983448283114	0.119319995899078	0.2666	0.29293659412251827	0.24866345238403603	Not signficant	1	0	1	2	3	0.6
ENSG00000198912	ENSPTRG00000024207	C1orf174	-0.236765755717148	-0.00670640063532346	0.3952	0.3546716208271308	-0.23005935508182454	Not signficant	1	0	0	1	3	0.3333333333333333
ENSG00000131697	ENSPTRG00000048943	NPHP4	-1.0816881080758	-0.315223869210989	0.0075	0.04136634007643788	-0.7664642388648111	More dispersed in human	3	2	0	4	1.4	0.1111111111111111
ENSG00000069424	ENSPTRG00000052739	KCNAB2	0.467315724706861	0.863593204709853	0.177	0.23760095745669277	-0.396277480002992	Not signficant	0	1	1	4	0.3333333333333333	0.3333333333333333
ENSG00000158286	ENSPTRG00000000078	RNF207	0.89430910025797	1.4511608921206	0.0275	0.08719921506343051	-0.5568517918626301	More dispersed in human	1	2	2	0	0.6	5
ENSG00000158292	ENSPTRG00000000082	GPR153	1.76339888352143	1.51098313390226	0.3993	0.35720977386579544	0.2524157496191701	Not signficant	3	1	1	1	2.3333333333333335	1
ENSG00000171680	ENSPTRG00000000088	PLEKHG5	-0.247884819654079	0.783125617367044	0.0069	0.0393652433752402	-1.031010437021123	More dispersed in human	0	2	2	1	0.2	1.6666666666666667
ENSG00000162408	ENSPTRG00000000089	NOL9	-0.359553168544036	-1.00219924621399	0.0246	0.08169278416405108	0.6426460776699539	More dispersed in chimp	2	2	1	1	1	1
ENSG00000162413	ENSPTRG00000000091	KLHL21	0.108627745079061	0.203105937321342	0.7905	0.4910391469148414	-0.09447819224228099	Not signficant	0	3	0	1	0.14285714285714285	0.3333333333333333
ENSG00000041988	ENSPTRG00000000093	THAP3	-0.417952656965408	-0.0176940453323686	0.106	0.1808572470930716	-0.4002586116330394	Not signficant	1	0	1	0	3	3
ENSG00000007923	ENSPTRG00000000094	DNAJC11	-0.34745715048813	0.138913709311667	0.0595	0.13348725196279052	-0.486370859799797	Not signficant	0	2	2	1	0.2	1.6666666666666667
ENSG00000171735	ENSPTRG00000000096	CAMTA1	-1.42316101249958	-0.783152313344859	0.0262	0.08465774027395506	-0.6400086991547209	More dispersed in human	1	5	2	2	0.2727272727272727	1
ENSG00000049246	ENSPTRG00000000099	PER3	0.436857341451333	0.71054138410726	0.3721	0.34526993051408583	-0.273684042655927	Not signficant	4	2	4	2	1.8	1.8
ENSG00000142599	ENSPTRG00000000106	RERE	0.164508867987516	0.931008355609732	0.01	0.0492416581354945	-0.7664994876222161	More dispersed in human	0	3	2	5	0.14285714285714285	0.45454545454545453
ENSG00000049239	ENSPTRG00000000113	H6PD	-0.206670689515153	0.112411495429392	0.24	0.27739935048409625	-0.319082184944545	Not signficant	1	1	4	4	1	1
ENSG00000188807	ENSPTRG00000049393	TMEM201	-1.17662637827072	-0.949723559848426	0.4714	0.3875671567485753	-0.22690281842229398	Not signficant	0	1	1	0	0.3333333333333333	3
ENSG00000171608	ENSPTRG00000000120	PIK3CD	0.567230977253781	0.408725219865885	0.6367	0.44569841659136544	0.15850575738789602	Not signficant	0	1	0	1	0.3333333333333333	0.3333333333333333
ENSG00000171603	ENSPTRG00000000121	CLSTN1	-0.50973516387405	-1.01931213830354	0.0522	0.12404571378391742	0.5095769744294899	Not signficant	0	3	0	1	0.14285714285714285	0.3333333333333333
