gene	Pn	Ps
ENSG00000000457	1	1
ENSG00000000460	1	1
ENSG00000000971	3	3
ENSG00000001036	3	1
ENSG00000001460	3	3
ENSG00000001461	0	1
ENSG00000001561	1	0
ENSG00000001617	1	1
ENSG00000001626	1	2
ENSG00000001629	1	0
ENSG00000001630	0	1
ENSG00000002016	1	0
ENSG00000002330	0	1
ENSG00000002549	0	1
ENSG00000002587	0	2
ENSG00000002726	2	4
ENSG00000002745	2	0
ENSG00000002746	1	6
ENSG00000002822	1	1
ENSG00000002834	1	2
ENSG00000002933	3	2
ENSG00000003056	1	0
ENSG00000003137	1	0
ENSG00000003147	1	0
ENSG00000003393	1	1
ENSG00000003400	1	1
ENSG00000003402	0	1
ENSG00000003436	1	0
ENSG00000003756	0	2
ENSG00000003987	0	2
ENSG00000003989	3	0
ENSG00000004142	0	1
ENSG00000004399	2	6
ENSG00000004534	0	1
ENSG00000004660	1	1
ENSG00000004766	0	2
ENSG00000004777	0	6
ENSG00000004799	0	1
ENSG00000004809	2	1
ENSG00000004846	5	4
ENSG00000004864	0	1
ENSG00000004897	1	0
ENSG00000004948	2	0
ENSG00000004975	0	4
ENSG00000005001	1	0
ENSG00000005020	1	0
ENSG00000005059	2	1
ENSG00000005075	1	0
ENSG00000005100	1	2
ENSG00000005102	1	0
ENSG00000005108	2	4
ENSG00000005189	0	1
ENSG00000005206	1	3
ENSG00000005238	0	1
ENSG00000005249	0	2
ENSG00000005379	3	3
ENSG00000005421	2	0
ENSG00000005436	3	1
ENSG00000005471	0	3
ENSG00000005483	0	1
ENSG00000005513	0	2
ENSG00000005700	1	1
ENSG00000005801	1	1
ENSG00000005810	0	2
ENSG00000005844	2	0
ENSG00000005882	0	1
ENSG00000005884	0	2
ENSG00000005961	1	1
ENSG00000006016	1	1
ENSG00000006025	0	2
ENSG00000006047	2	0
ENSG00000006059	1	0
ENSG00000006062	0	1
ENSG00000006071	4	6
ENSG00000006118	1	4
ENSG00000006125	0	1
ENSG00000006194	1	0
ENSG00000006282	4	1
ENSG00000006283	0	3
ENSG00000006327	1	0
ENSG00000006432	0	2
ENSG00000006453	0	3
ENSG00000006459	1	1
ENSG00000006468	1	1
ENSG00000006534	0	4
ENSG00000006555	4	0
ENSG00000006576	1	0
ENSG00000006607	2	2
ENSG00000006611	1	2
ENSG00000006638	1	4
ENSG00000006652	1	2
ENSG00000006659	3	0
ENSG00000006695	1	2
ENSG00000006704	1	2
ENSG00000006715	1	1
ENSG00000006744	1	2
ENSG00000006747	3	1
ENSG00000006788	3	6
ENSG00000006831	0	3
ENSG00000007038	0	2
ENSG00000007062	0	1
ENSG00000007080	0	1
ENSG00000007129	2	0
ENSG00000007171	1	3
ENSG00000007174	4	7
ENSG00000007216	1	1
ENSG00000007237	0	1
ENSG00000007306	1	0
ENSG00000007312	0	1
ENSG00000007314	1	2
ENSG00000007341	1	0
ENSG00000007372	1	0
ENSG00000007384	0	1
ENSG00000007516	0	1
ENSG00000007541	6	2
ENSG00000007545	0	2
ENSG00000007908	1	1
ENSG00000007923	2	1
ENSG00000007933	2	1
ENSG00000007944	1	0
ENSG00000007968	1	0
ENSG00000008018	1	0
ENSG00000008083	0	3
ENSG00000008118	1	1
ENSG00000008128	3	4
ENSG00000008130	1	1
ENSG00000008226	2	2
ENSG00000008256	0	1
ENSG00000008277	1	0
ENSG00000008282	1	0
ENSG00000008300	2	3
ENSG00000008323	2	1
ENSG00000008382	1	1
ENSG00000008405	0	1
ENSG00000008513	0	2
ENSG00000008516	1	1
ENSG00000008517	1	1
ENSG00000008710	3	10
ENSG00000008735	0	2
ENSG00000008838	0	4
ENSG00000008853	0	1
ENSG00000008869	0	2
ENSG00000008988	0	1
ENSG00000009335	0	1
ENSG00000009413	2	6
ENSG00000009709	0	1
ENSG00000009724	1	1
ENSG00000009790	1	3
ENSG00000009830	1	2
ENSG00000009950	2	1
ENSG00000009954	0	1
ENSG00000010017	0	1
ENSG00000010030	0	1
ENSG00000010072	1	0
ENSG00000010165	2	3
ENSG00000010219	0	2
ENSG00000010282	1	1
ENSG00000010292	3	5
ENSG00000010310	1	0
ENSG00000010319	1	0
ENSG00000010322	1	0
ENSG00000010327	2	5
ENSG00000010361	0	1
ENSG00000010379	0	1
ENSG00000010438	2	0
ENSG00000010610	0	2
ENSG00000010626	2	0
ENSG00000010704	1	0
ENSG00000010818	0	4
ENSG00000010932	0	2
ENSG00000011007	0	1
ENSG00000011021	1	1
ENSG00000011028	1	1
ENSG00000011083	1	2
ENSG00000011105	1	2
ENSG00000011114	0	1
ENSG00000011132	1	3
ENSG00000011260	0	1
ENSG00000011295	1	0
ENSG00000011304	0	5
ENSG00000011376	1	3
ENSG00000011405	1	1
ENSG00000011422	2	0
ENSG00000011426	3	3
ENSG00000011478	0	1
ENSG00000011485	0	1
ENSG00000011523	4	1
ENSG00000011566	0	2
ENSG00000011590	1	1
ENSG00000011638	2	0
ENSG00000012048	4	3
ENSG00000012061	0	1
ENSG00000012124	1	0
ENSG00000012223	3	5
ENSG00000012232	0	1
ENSG00000012779	0	1
ENSG00000012822	1	1
ENSG00000012963	1	0
ENSG00000013288	4	1
ENSG00000013293	0	1
ENSG00000013306	2	0
ENSG00000013374	2	2
ENSG00000013375	1	1
ENSG00000013503	0	2
ENSG00000013523	1	0
ENSG00000013573	3	4
ENSG00000013588	0	1
ENSG00000013725	5	4
ENSG00000013810	4	4
ENSG00000014123	0	1
ENSG00000014138	1	0
ENSG00000014164	7	1
ENSG00000014216	0	1
ENSG00000014257	0	3
ENSG00000014824	1	2
ENSG00000014914	1	1
ENSG00000014919	1	0
ENSG00000015133	2	3
ENSG00000015153	1	1
ENSG00000015413	1	0
ENSG00000015475	1	1
ENSG00000015520	0	3
ENSG00000015532	2	3
ENSG00000015676	2	0
ENSG00000016082	0	1
ENSG00000016391	2	2
